step_idx,action_type,target_id,reason,action_cost,spent_after_commit,remaining_after_commit,scanned_cells,scanned_units,verify_count,verified_positive_units,returned_event_count,event_precision,event_recall,event_f1,public_state_hash,label_revealed_only_for_verify
0,SCAN,17,fixed_cycle_scan,0.1,0.1,79.9,1,10,0,0,0,0.0,0.0,0.0,4dd3586c54b7b991b17f1fd15e68512abc937cbeb6ce0f2a01af988379f3a4b6,True
1,VERIFY,171,fixed_cycle_proxy_verify,1.0,1.1,78.9,1,10,1,1,1,1.0,0.038461538461538464,0.07407407407407407,32b9eb7ba0f31ec08136a8dbaab462baa93c0601939a45917b7df62fe790f73c,True
2,SCAN,8,fixed_cycle_scan,0.1,1.2,78.8,2,20,1,1,1,1.0,0.038461538461538464,0.07407407407407407,74f6c5f9a3f3c8eb1241aaee00db5149261b3709625e7a16382f64e2e66365e2,True
3,VERIFY,83,fixed_cycle_proxy_verify,1.0,2.2,77.8,2,20,2,2,2,1.0,0.07692307692307693,0.14285714285714288,74833d71148a07f6f82534863015a1242016ac3ae03f70d5fdb5cebb181e8dbc,True
4,SCAN,26,fixed_cycle_scan,0.1,2.3,77.7,3,30,2,2,2,1.0,0.07692307692307693,0.14285714285714288,90ceb8c394e42cbda3c975af60acdd09aca1a8b52b50c0238b6ec5f42bd3d37f,True
5,VERIFY,267,fixed_cycle_proxy_verify,1.0,3.3,76.7,3,30,3,2,2,1.0,0.07692307692307693,0.14285714285714288,68a0eb5895bd348a7699c8a350e511d0d678a4c276e572ea593e12c3708bcc23,True
6,SCAN,3,fixed_cycle_scan,0.1,3.4,76.6,4,40,3,2,2,1.0,0.07692307692307693,0.14285714285714288,7a886217591432a789d505b0981d978b5b4eae618432214eb2ad33fb457a46fe,True
7,VERIFY,35,fixed_cycle_proxy_verify,1.0,4.4,75.6,4,40,4,2,2,1.0,0.07692307692307693,0.14285714285714288,cc2fd34147e170350253c2f44b86506b8ee5c4417f0e06ebbc3d5c4d3cfce536,True
8,SCAN,12,fixed_cycle_scan,0.1,4.5,75.5,5,50,4,2,2,1.0,0.07692307692307693,0.14285714285714288,b9beb0287ee7b37f3db7ea4c8e379ec4c3b5ad146a5edb45ddc6bcdb20970e9b,True
9,VERIFY,123,fixed_cycle_proxy_verify,1.0,5.5,74.5,5,50,5,2,2,1.0,0.07692307692307693,0.14285714285714288,78284a887e800287a01dd91605b4b395bf5903ba4c085596823246d942949433,True
10,SCAN,21,fixed_cycle_scan,0.1,5.6,74.4,6,60,5,2,2,1.0,0.07692307692307693,0.14285714285714288,ee431ce4e238682436e0628a4768f695fe1686f397b11d7adc7798c2baead928,True
11,VERIFY,219,fixed_cycle_proxy_verify,1.0,6.6,73.4,6,60,6,3,3,1.0,0.11538461538461539,0.20689655172413793,2eaf86df71c646e1458af275695cc050660fd76e0871e3e200acf23fb3d4cf53,True
12,SCAN,30,fixed_cycle_scan,0.1,6.7,73.3,7,70,6,3,3,1.0,0.11538461538461539,0.20689655172413793,384445c1d4294090e02af28130087b2000921b590a4cc15c91737abf0ba582b6,True
13,VERIFY,214,fixed_cycle_proxy_verify,1.0,7.7,72.3,7,70,7,3,3,1.0,0.11538461538461539,0.20689655172413793,da1dd434559a872d3a641582c2ac018869cad2cb1db64a9a947aca41f2193296,True
14,SCAN,1,fixed_cycle_scan,0.1,7.8,72.2,8,80,7,3,3,1.0,0.11538461538461539,0.20689655172413793,bc8e99de4a6fbf79aff419837241ebb185154b1e41736a01ef1ab92532d9cef1,True
15,VERIFY,212,fixed_cycle_proxy_verify,1.0,8.8,71.2,8,80,8,3,3,1.0,0.11538461538461539,0.20689655172413793,766ba924212a253889b8025fae034cccf22f8045b4d915e0eb3e2a2f516d3e8d,True
16,SCAN,5,fixed_cycle_scan,0.1,8.9,71.1,9,90,8,3,3,1.0,0.11538461538461539,0.20689655172413793,ddfea40e4aeb2f36866daef47013fc7c2e3682a40494431eb6e474779a8cec6a,True
17,VERIFY,11,fixed_cycle_proxy_verify,1.0,9.9,70.1,9,90,9,3,3,1.0,0.11538461538461539,0.20689655172413793,900f742f9300d54fa3ced798b003e2cad75998c15abe307f44ad13f1d203849f,True
18,SCAN,10,fixed_cycle_scan,0.1,10.0,70.0,10,100,9,3,3,1.0,0.11538461538461539,0.20689655172413793,bcd0b1bc51d0de23361df13a7e4a7af852cc14d05380cd4efc1bb78ec028cad3,True
19,VERIFY,305,fixed_cycle_proxy_verify,1.0,11.0,69.0,10,100,10,3,3,1.0,0.11538461538461539,0.20689655172413793,c1a4f9f54549ebbbccd2edb99f54106964f8186a207bc0bdbb6055c419c9de25,True
20,SCAN,14,fixed_cycle_scan,0.1,11.1,68.9,11,110,10,3,3,1.0,0.11538461538461539,0.20689655172413793,8e991d84cc7e973f2123f534f868745bfed999d8c1972f4f5d262ff83fde64d3,True
21,VERIFY,147,fixed_cycle_proxy_verify,1.0,12.1,67.9,11,110,11,3,3,1.0,0.11538461538461539,0.20689655172413793,d7c546d0c9c2f7bc6f9e0a2e9902c126f12c6ee2ed081ef5534bdefd43ff4830,True
22,SCAN,19,fixed_cycle_scan,0.1,12.2,67.8,12,120,11,3,3,1.0,0.11538461538461539,0.20689655172413793,497b49f54d95cfe8f62cfdaa0a666e86d9a25d6de31d7a900511cf1a0673af0b,True
23,VERIFY,17,fixed_cycle_proxy_verify,1.0,13.2,66.8,12,120,12,3,3,1.0,0.11538461538461539,0.20689655172413793,af98de9a0e4283c2a924fc84971c3bf6f56bac2e7a48acc6db83934cf3fc09a6,True
24,SCAN,23,fixed_cycle_scan,0.1,13.3,66.7,13,130,12,3,3,1.0,0.11538461538461539,0.20689655172413793,4fa762b44ea54c4f15e29d8fbf14be32b1b5281737bd1902e424021ad4400022,True
25,VERIFY,236,fixed_cycle_proxy_verify,1.0,14.3,65.7,13,130,13,3,3,1.0,0.11538461538461539,0.20689655172413793,7d9f53bac9cd70cee8ce14ffebbf85c47f7e929ae9b6233902f72dbd9320b040,True
26,SCAN,28,fixed_cycle_scan,0.1,14.4,65.6,14,140,13,3,3,1.0,0.11538461538461539,0.20689655172413793,256078f7997b082c8eb9d09b287f0581cda24d2e05d6fcbdbd397df1ccd008ab,True
27,VERIFY,230,fixed_cycle_proxy_verify,1.0,15.4,64.6,14,140,14,3,3,1.0,0.11538461538461539,0.20689655172413793,5a13ecec741ba495a15d17fa215df145aedae3ec81a4f8f476c034ec1c2c5109,True
28,SCAN,32,fixed_cycle_scan,0.1,15.5,64.5,15,150,14,3,3,1.0,0.11538461538461539,0.20689655172413793,f2fc54d3ac63c9e60094c70539fcb3416a0e26aa638abec9085c7ba43e570daf,True
29,VERIFY,320,fixed_cycle_proxy_verify,1.0,16.5,63.5,15,150,15,3,3,1.0,0.11538461538461539,0.20689655172413793,8baafe98821dc4edd1c0ed4cef36fb92d7b10a251e7c61a4fc3b218848a3e9ba,True
30,SCAN,0,fixed_cycle_scan,0.1,16.6,63.4,16,160,15,3,3,1.0,0.11538461538461539,0.20689655172413793,6a0af4ae69e0f570b595d761d1308d37283240ff81973dc99a46ec5462db5377,True
31,VERIFY,4,fixed_cycle_proxy_verify,1.0,17.6,62.4,16,160,16,3,3,1.0,0.11538461538461539,0.20689655172413793,3538932cd9be3f68d1df03119fac25fe679421d79872e0b5eedc248b3c7243a4,True
