run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,source_method,source_method_config,source_run_dir,stage0_5_variant
repaired_confirmed_only_b80_s1,repaired_confirmed_only,80,realcartest,0,300,499,30.0,50.0,0.298775826048428,confirmed_anchor_repaired,56,3|4,SUPG-RT-confirmed-only,SUPG-RT-confirmed-only,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/SUPG_RT_confirmed_only_b80_s1,common_materializer_confirmed_only
repaired_confirmed_only_b80_s1,repaired_confirmed_only,80,realcartest,1,1200,1299,120.0,130.0,0.3507529698913206,confirmed_anchor_repaired,56,12,SUPG-RT-confirmed-only,SUPG-RT-confirmed-only,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/SUPG_RT_confirmed_only_b80_s1,common_materializer_confirmed_only
repaired_confirmed_only_b80_s1,repaired_confirmed_only,80,realcartest,2,3800,4099,380.0,410.0,0.2822744858199662,confirmed_anchor_repaired,56,38|39|40,SUPG-RT-confirmed-only,SUPG-RT-confirmed-only,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/SUPG_RT_confirmed_only_b80_s1,common_materializer_confirmed_only
repaired_confirmed_only_b80_s1,repaired_confirmed_only,80,realcartest,3,5600,5699,560.0,570.0,0.3856315896264007,confirmed_anchor_repaired,56,56,SUPG-RT-confirmed-only,SUPG-RT-confirmed-only,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/SUPG_RT_confirmed_only_b80_s1,common_materializer_confirmed_only
repaired_confirmed_only_b80_s1,repaired_confirmed_only,80,realcartest,4,7000,7199,700.0,720.0,0.392924354368701,confirmed_anchor_repaired,56,70|71,SUPG-RT-confirmed-only,SUPG-RT-confirmed-only,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/SUPG_RT_confirmed_only_b80_s1,common_materializer_confirmed_only
repaired_confirmed_only_b80_s1,repaired_confirmed_only,80,realcartest,5,7900,7999,790.0,800.0,0.4111073851885846,confirmed_anchor_repaired,56,79,SUPG-RT-confirmed-only,SUPG-RT-confirmed-only,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/SUPG_RT_confirmed_only_b80_s1,common_materializer_confirmed_only
repaired_confirmed_only_b80_s1,repaired_confirmed_only,80,realcartest,6,8300,8699,830.0,870.0,0.4287805485130094,confirmed_anchor_repaired,56,83|84|85|86,SUPG-RT-confirmed-only,SUPG-RT-confirmed-only,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/SUPG_RT_confirmed_only_b80_s1,common_materializer_confirmed_only
repaired_confirmed_only_b80_s1,repaired_confirmed_only,80,realcartest,7,8700,8899,870.0,890.0,0.5058738273007904,confirmed_anchor_repaired,56,87|88,SUPG-RT-confirmed-only,SUPG-RT-confirmed-only,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/SUPG_RT_confirmed_only_b80_s1,common_materializer_confirmed_only
repaired_confirmed_only_b80_s1,repaired_confirmed_only,80,realcartest,8,9600,9699,960.0,970.0,0.2406992712578868,confirmed_anchor_repaired,56,96,SUPG-RT-confirmed-only,SUPG-RT-confirmed-only,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/SUPG_RT_confirmed_only_b80_s1,common_materializer_confirmed_only
repaired_confirmed_only_b80_s1,repaired_confirmed_only,80,realcartest,9,9800,9899,980.0,990.0,0.3893362928575637,confirmed_anchor_repaired,56,98,SUPG-RT-confirmed-only,SUPG-RT-confirmed-only,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/SUPG_RT_confirmed_only_b80_s1,common_materializer_confirmed_only
repaired_confirmed_only_b80_s1,repaired_confirmed_only,80,realcartest,10,10600,10699,1060.0,1070.0,0.379637015441183,confirmed_anchor_repaired,56,106,SUPG-RT-confirmed-only,SUPG-RT-confirmed-only,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/SUPG_RT_confirmed_only_b80_s1,common_materializer_confirmed_only
repaired_confirmed_only_b80_s1,repaired_confirmed_only,80,realcartest,11,11100,11199,1110.0,1120.0,0.4097589050237029,confirmed_anchor_repaired,56,111,SUPG-RT-confirmed-only,SUPG-RT-confirmed-only,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/SUPG_RT_confirmed_only_b80_s1,common_materializer_confirmed_only
