run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,selector,materializer_variant
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,0,300,599,30.0,60.0,0.3165879171464191,F5_full_minus_conservative_expansion,100,3|4|5,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,1,700,799,70.0,80.0,0.2443440442542616,F5_full_minus_conservative_expansion,100,7,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,2,900,999,90.0,100.0,0.2921969348167256,F5_full_minus_conservative_expansion,100,9,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,3,1200,1299,120.0,130.0,0.3507529698913206,F5_full_minus_conservative_expansion,100,12,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,4,2500,2599,250.0,260.0,0.2458370010258339,F5_full_minus_conservative_expansion,100,25,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,5,3200,3299,320.0,330.0,0.2178679718882723,F5_full_minus_conservative_expansion,100,32,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,6,3800,4099,380.0,410.0,0.2822744858199662,F5_full_minus_conservative_expansion,100,38|39|40,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,7,4900,5099,490.0,510.0,0.45232344458656976,F5_full_minus_conservative_expansion,100,49|50,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,8,5300,5399,530.0,540.0,0.2451944604958394,F5_full_minus_conservative_expansion,100,53,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,9,5600,5699,560.0,570.0,0.3856315896264007,F5_full_minus_conservative_expansion,100,56,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,10,5800,5899,580.0,590.0,0.2866984648236633,F5_full_minus_conservative_expansion,100,58,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,11,7000,7199,700.0,720.0,0.392924354368701,F5_full_minus_conservative_expansion,100,70|71,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,12,7600,7799,760.0,780.0,0.3702127589221131,F5_full_minus_conservative_expansion,100,76|77,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,13,7900,7999,790.0,800.0,0.4111073851885846,F5_full_minus_conservative_expansion,100,79,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,14,8100,8199,810.0,820.0,0.4720638864573329,F5_full_minus_conservative_expansion,100,81,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,15,8300,8699,830.0,870.0,0.4287805485130094,F5_full_minus_conservative_expansion,100,83|84|85|86,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,16,8700,8899,870.0,890.0,0.5058738273007904,F5_full_minus_conservative_expansion,100,87|88,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,17,9600,9899,960.0,990.0,0.3168355273414083,F5_full_minus_conservative_expansion,100,96|97|98,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,18,10600,10699,1060.0,1070.0,0.379637015441183,F5_full_minus_conservative_expansion,100,106,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
ABae-stratified-confirmed_B100_s3_F5_full_minus_conservative_expansion,ABae-stratified-confirmed,100,realcartest,19,11100,11199,1110.0,1120.0,0.4097589050237029,F5_full_minus_conservative_expansion,100,111,ABae-stratified-confirmed,F5_full_minus_conservative_expansion
