run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,selector,materializer_variant
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,0,300,599,30.0,60.0,0.3165879171464191,F3_full_minus_proxy_valley,100,3|4|5,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,1,700,999,70.0,100.0,0.27243093721033473,F3_full_minus_proxy_valley,100,7|8|9,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,2,1100,1399,110.0,140.0,0.25054254022307776,F3_full_minus_proxy_valley,100,11|12|13,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,3,2400,2699,240.0,270.0,0.2418946166661651,F3_full_minus_proxy_valley,100,24|25|26,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,4,3100,3299,310.0,330.0,0.19666280608174685,F3_full_minus_proxy_valley,100,31|32,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,5,3700,4199,370.0,420.0,0.27365411149044216,F3_full_minus_proxy_valley,100,37|38|39|40|41,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,6,4800,5099,480.0,510.0,0.3848777951027265,F3_full_minus_proxy_valley,100,48|49|50,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,7,5600,5699,560.0,570.0,0.3856315896264007,F3_full_minus_proxy_valley,100,56,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,8,5800,5899,580.0,590.0,0.2866984648236633,F3_full_minus_proxy_valley,100,58,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,9,7000,7199,700.0,720.0,0.392924354368701,F3_full_minus_proxy_valley,100,70|71,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,10,7600,7799,760.0,780.0,0.3702127589221131,F3_full_minus_proxy_valley,100,76|77,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,11,7900,7999,790.0,800.0,0.4111073851885846,F3_full_minus_proxy_valley,100,79,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,12,8100,8199,810.0,820.0,0.4720638864573329,F3_full_minus_proxy_valley,100,81,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,13,8300,8799,830.0,880.0,0.4424624222514992,F3_full_minus_proxy_valley,100,83|84|85|86|87,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,14,8600,8899,860.0,890.0,0.497374862973885,F3_full_minus_proxy_valley,100,86|87|88,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,15,9600,9699,960.0,970.0,0.2406992712578868,F3_full_minus_proxy_valley,100,96,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,16,9800,9899,980.0,990.0,0.3893362928575637,F3_full_minus_proxy_valley,100,98,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,17,10600,10699,1060.0,1070.0,0.379637015441183,F3_full_minus_proxy_valley,100,106,ARC-refinement@th0.4,F3_full_minus_proxy_valley
ARC-refinement_th0p4_B100_s4_F3_full_minus_proxy_valley,ARC-refinement,100,realcartest,18,11100,11199,1110.0,1120.0,0.4097589050237029,F3_full_minus_proxy_valley,100,111,ARC-refinement@th0.4,F3_full_minus_proxy_valley
