run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,selector,materializer_variant
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,0,0,99,0.0,10.0,0.4,mixed,50,0,ARC-refinement@th0.4,NativeOriginal
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,1,400,499,40.0,50.0,0.2766791292423251,mixed,50,4,ARC-refinement@th0.4,NativeOriginal
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,2,1200,1299,120.0,130.0,0.3507529698913206,mixed,50,12,ARC-refinement@th0.4,NativeOriginal
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,3,3600,3699,360.0,370.0,0.4690838966129135,mixed,50,36,ARC-refinement@th0.4,NativeOriginal
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,4,3900,3999,390.0,400.0,0.3501125549310816,mixed,50,39,ARC-refinement@th0.4,NativeOriginal
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,5,4900,5199,490.0,520.0,0.458011299142083,mixed,50,49|50|51,ARC-refinement@th0.4,NativeOriginal
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,6,6800,6899,680.0,690.0,0.4049665247410922,mixed,50,68,ARC-refinement@th0.4,NativeOriginal
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,7,7100,7199,710.0,720.0,0.4250146762726758,mixed,50,71,ARC-refinement@th0.4,NativeOriginal
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,8,7300,7399,730.0,740.0,0.4057423420257025,mixed,50,73,ARC-refinement@th0.4,NativeOriginal
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,9,7600,7799,760.0,780.0,0.3702127589221131,mixed,50,76|77,ARC-refinement@th0.4,NativeOriginal
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,10,7900,7999,790.0,800.0,0.4111073851885846,mixed,50,79,ARC-refinement@th0.4,NativeOriginal
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,11,8100,8199,810.0,820.0,0.4720638864573329,mixed,50,81,ARC-refinement@th0.4,NativeOriginal
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,12,8300,8899,830.0,890.0,0.4544783081089363,mixed,50,83|84|85|86|87|88,ARC-refinement@th0.4,NativeOriginal
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,13,10600,10699,1060.0,1070.0,0.379637015441183,mixed,50,106,ARC-refinement@th0.4,NativeOriginal
ARC_refinement_b50_s1_th0.4,ARC-refinement,50,realcartest,14,11100,11199,1110.0,1120.0,0.4097589050237029,mixed,50,111,ARC-refinement@th0.4,NativeOriginal
