run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,selector,materializer_variant
ours_frozen_late_aqp_b100_s0,Ours-Frozen-LATE-AQP-v1,100,realcartest,0,0,99,0.0,10.0,0.4,mixed,100,0,Ours-Frozen-LATE-AQP-v1,NativeOriginal
ours_frozen_late_aqp_b100_s0,Ours-Frozen-LATE-AQP-v1,100,realcartest,1,200,1299,20.0,130.0,0.2887649408878283,mixed,100,2|3|4|5|6|7|8|9|10|11|12,Ours-Frozen-LATE-AQP-v1,NativeOriginal
ours_frozen_late_aqp_b100_s0,Ours-Frozen-LATE-AQP-v1,100,realcartest,2,1500,1699,150.0,170.0,0.2755931295883723,mixed,100,15|16,Ours-Frozen-LATE-AQP-v1,NativeOriginal
ours_frozen_late_aqp_b100_s0,Ours-Frozen-LATE-AQP-v1,100,realcartest,3,2100,2199,210.0,220.0,0.1078231156939297,mixed,100,21,Ours-Frozen-LATE-AQP-v1,NativeOriginal
ours_frozen_late_aqp_b100_s0,Ours-Frozen-LATE-AQP-v1,100,realcartest,4,2400,2899,240.0,290.0,0.289847833977457,mixed,100,24|25|26|27|28,Ours-Frozen-LATE-AQP-v1,NativeOriginal
ours_frozen_late_aqp_b100_s0,Ours-Frozen-LATE-AQP-v1,100,realcartest,5,3200,4199,320.0,420.0,0.2895268204288589,mixed,100,32|33|34|35|36|37|38|39|40|41,Ours-Frozen-LATE-AQP-v1,NativeOriginal
ours_frozen_late_aqp_b100_s0,Ours-Frozen-LATE-AQP-v1,100,realcartest,6,4300,4399,430.0,440.0,0.2133218368294702,mixed,100,43,Ours-Frozen-LATE-AQP-v1,NativeOriginal
ours_frozen_late_aqp_b100_s0,Ours-Frozen-LATE-AQP-v1,100,realcartest,7,4700,7399,470.0,740.0,0.3385524768057633,mixed,100,47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73,Ours-Frozen-LATE-AQP-v1,NativeOriginal
ours_frozen_late_aqp_b100_s0,Ours-Frozen-LATE-AQP-v1,100,realcartest,8,7500,10999,750.0,1100.0,0.387647903556537,mixed,100,75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|101|102|103|104|105|106|107|108|109,Ours-Frozen-LATE-AQP-v1,NativeOriginal
ours_frozen_late_aqp_b100_s0,Ours-Frozen-LATE-AQP-v1,100,realcartest,9,11100,11399,1110.0,1140.0,0.3313798082969391,mixed,100,111|112|113,Ours-Frozen-LATE-AQP-v1,NativeOriginal
ours_frozen_late_aqp_b100_s0,Ours-Frozen-LATE-AQP-v1,100,realcartest,10,11500,11599,1150.0,1160.0,0.2806702374659445,mixed,100,115,Ours-Frozen-LATE-AQP-v1,NativeOriginal
ours_frozen_late_aqp_b100_s0,Ours-Frozen-LATE-AQP-v1,100,realcartest,11,11700,11999,1170.0,1200.0,0.3205547683512568,mixed,100,117|118|119,Ours-Frozen-LATE-AQP-v1,NativeOriginal
