run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,selector,materializer_variant
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,0,200,699,20.0,70.0,0.2869887456400634,F2_full_minus_negative_barrier,100,2|3|4|5|6,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,1,600,1099,60.0,110.0,0.2861767376788752,F2_full_minus_negative_barrier,100,6|7|8|9|10,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,2,1100,1299,110.0,130.0,0.2887205370154212,F2_full_minus_negative_barrier,100,11|12,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,3,2500,2699,250.0,270.0,0.2670850784100204,F2_full_minus_negative_barrier,100,25|26,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,4,3200,3399,320.0,340.0,0.2861286692099503,F2_full_minus_negative_barrier,100,32|33,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,5,3700,4199,370.0,420.0,0.27365411149044216,F2_full_minus_negative_barrier,100,37|38|39|40|41,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,6,4800,5199,480.0,520.0,0.4060050983903223,F2_full_minus_negative_barrier,100,48|49|50|51,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,7,5200,5499,520.0,550.0,0.2875930549205305,F2_full_minus_negative_barrier,100,52|53|54,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,8,5500,5999,550.0,600.0,0.34962115417176287,F2_full_minus_negative_barrier,100,55|56|57|58|59,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,9,6900,7299,690.0,730.0,0.3586539679104358,F2_full_minus_negative_barrier,100,69|70|71|72,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,10,7500,8099,750.0,810.0,0.36260351994282125,F2_full_minus_negative_barrier,100,75|76|77|78|79|80,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,11,8000,8599,800.0,860.0,0.41861286503824696,F2_full_minus_negative_barrier,100,80|81|82|83|84|85,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,12,8400,8999,840.0,900.0,0.4500481403630361,F2_full_minus_negative_barrier,100,84|85|86|87|88|89,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,13,9500,9999,950.0,1000.0,0.34697490878582105,F2_full_minus_negative_barrier,100,95|96|97|98|99,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,14,10500,10799,1050.0,1080.0,0.44957992034581157,F2_full_minus_negative_barrier,100,105|106|107,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
Ours-Frozen-LATE-AQP-v1_B100_s4_F2_full_minus_negative_barrier,Ours-Frozen-LATE-AQP-v1,100,realcartest,15,11000,11299,1100.0,1130.0,0.3103572399418771,F2_full_minus_negative_barrier,100,110|111|112,Ours-Frozen-LATE-AQP-v1,F2_full_minus_negative_barrier
