run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,selector,materializer_variant
SUPG-RT-all-selected_B100_s0_F2_full_minus_negative_barrier,SUPG-RT-all-selected,100,realcartest,0,200,599,20.0,60.0,0.2920223968352233,F2_full_minus_negative_barrier,67,2|3|4|5,SUPG-RT-all-selected,F2_full_minus_negative_barrier
SUPG-RT-all-selected_B100_s0_F2_full_minus_negative_barrier,SUPG-RT-all-selected,100,realcartest,1,600,1099,60.0,110.0,0.2861767376788752,F2_full_minus_negative_barrier,67,6|7|8|9|10,SUPG-RT-all-selected,F2_full_minus_negative_barrier
SUPG-RT-all-selected_B100_s0_F2_full_minus_negative_barrier,SUPG-RT-all-selected,100,realcartest,2,3100,3399,310.0,340.0,0.24923832623170736,F2_full_minus_negative_barrier,67,31|32|33,SUPG-RT-all-selected,F2_full_minus_negative_barrier
SUPG-RT-all-selected_B100_s0_F2_full_minus_negative_barrier,SUPG-RT-all-selected,100,realcartest,3,3900,4199,390.0,420.0,0.27860162722364706,F2_full_minus_negative_barrier,67,39|40|41,SUPG-RT-all-selected,F2_full_minus_negative_barrier
SUPG-RT-all-selected_B100_s0_F2_full_minus_negative_barrier,SUPG-RT-all-selected,100,realcartest,4,4800,5199,480.0,520.0,0.4060050983903223,F2_full_minus_negative_barrier,67,48|49|50|51,SUPG-RT-all-selected,F2_full_minus_negative_barrier
SUPG-RT-all-selected_B100_s0_F2_full_minus_negative_barrier,SUPG-RT-all-selected,100,realcartest,5,5700,5999,570.0,600.0,0.3235645201080092,F2_full_minus_negative_barrier,67,57|58|59,SUPG-RT-all-selected,F2_full_minus_negative_barrier
SUPG-RT-all-selected_B100_s0_F2_full_minus_negative_barrier,SUPG-RT-all-selected,100,realcartest,6,7500,7799,750.0,780.0,0.3515630957703566,F2_full_minus_negative_barrier,67,75|76|77,SUPG-RT-all-selected,F2_full_minus_negative_barrier
SUPG-RT-all-selected_B100_s0_F2_full_minus_negative_barrier,SUPG-RT-all-selected,100,realcartest,7,7800,8099,780.0,810.0,0.37364394411528595,F2_full_minus_negative_barrier,67,78|79|80,SUPG-RT-all-selected,F2_full_minus_negative_barrier
SUPG-RT-all-selected_B100_s0_F2_full_minus_negative_barrier,SUPG-RT-all-selected,100,realcartest,8,8200,8699,820.0,870.0,0.42829751584338266,F2_full_minus_negative_barrier,67,82|83|84|85|86,SUPG-RT-all-selected,F2_full_minus_negative_barrier
SUPG-RT-all-selected_B100_s0_F2_full_minus_negative_barrier,SUPG-RT-all-selected,100,realcartest,9,8700,8999,870.0,900.0,0.4447754710706205,F2_full_minus_negative_barrier,67,87|88|89,SUPG-RT-all-selected,F2_full_minus_negative_barrier
SUPG-RT-all-selected_B100_s0_F2_full_minus_negative_barrier,SUPG-RT-all-selected,100,realcartest,10,9500,9999,950.0,1000.0,0.34697490878582105,F2_full_minus_negative_barrier,67,95|96|97|98|99,SUPG-RT-all-selected,F2_full_minus_negative_barrier
SUPG-RT-all-selected_B100_s0_F2_full_minus_negative_barrier,SUPG-RT-all-selected,100,realcartest,11,10500,10799,1050.0,1080.0,0.44957992034581157,F2_full_minus_negative_barrier,67,105|106|107,SUPG-RT-all-selected,F2_full_minus_negative_barrier
SUPG-RT-all-selected_B100_s0_F2_full_minus_negative_barrier,SUPG-RT-all-selected,100,realcartest,12,11000,11299,1100.0,1130.0,0.3103572399418771,F2_full_minus_negative_barrier,67,110|111|112,SUPG-RT-all-selected,F2_full_minus_negative_barrier
