run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,selector,materializer_variant
SUPG-RT-confirmed-only_B50_s0_C5_duplicate_suppression,SUPG-RT-confirmed-only,50,realcartest,0,300,499,30.0,50.0,0.298775826048428,C5_duplicate_suppression,44,3|4,SUPG-RT-confirmed-only,C5_duplicate_suppression
SUPG-RT-confirmed-only_B50_s0_C5_duplicate_suppression,SUPG-RT-confirmed-only,50,realcartest,1,700,799,70.0,80.0,0.2443440442542616,C5_duplicate_suppression,44,7,SUPG-RT-confirmed-only,C5_duplicate_suppression
SUPG-RT-confirmed-only_B50_s0_C5_duplicate_suppression,SUPG-RT-confirmed-only,50,realcartest,2,900,999,90.0,100.0,0.2921969348167256,C5_duplicate_suppression,44,9,SUPG-RT-confirmed-only,C5_duplicate_suppression
SUPG-RT-confirmed-only_B50_s0_C5_duplicate_suppression,SUPG-RT-confirmed-only,50,realcartest,3,4000,4099,400.0,410.0,0.235354423818303,C5_duplicate_suppression,44,40,SUPG-RT-confirmed-only,C5_duplicate_suppression
SUPG-RT-confirmed-only_B50_s0_C5_duplicate_suppression,SUPG-RT-confirmed-only,50,realcartest,4,4900,4999,490.0,500.0,0.4735633653135126,C5_duplicate_suppression,44,49,SUPG-RT-confirmed-only,C5_duplicate_suppression
SUPG-RT-confirmed-only_B50_s0_C5_duplicate_suppression,SUPG-RT-confirmed-only,50,realcartest,5,5800,5899,580.0,590.0,0.2866984648236633,C5_duplicate_suppression,44,58,SUPG-RT-confirmed-only,C5_duplicate_suppression
SUPG-RT-confirmed-only_B50_s0_C5_duplicate_suppression,SUPG-RT-confirmed-only,50,realcartest,6,8300,8599,830.0,860.0,0.41158175324398777,C5_duplicate_suppression,44,83|84|85,SUPG-RT-confirmed-only,C5_duplicate_suppression
SUPG-RT-confirmed-only_B50_s0_C5_duplicate_suppression,SUPG-RT-confirmed-only,50,realcartest,7,8800,8899,880.0,890.0,0.5145577373961224,C5_duplicate_suppression,44,88,SUPG-RT-confirmed-only,C5_duplicate_suppression
SUPG-RT-confirmed-only_B50_s0_C5_duplicate_suppression,SUPG-RT-confirmed-only,50,realcartest,8,9600,9699,960.0,970.0,0.2406992712578868,C5_duplicate_suppression,44,96,SUPG-RT-confirmed-only,C5_duplicate_suppression
SUPG-RT-confirmed-only_B50_s0_C5_duplicate_suppression,SUPG-RT-confirmed-only,50,realcartest,9,10600,10699,1060.0,1070.0,0.379637015441183,C5_duplicate_suppression,44,106,SUPG-RT-confirmed-only,C5_duplicate_suppression
SUPG-RT-confirmed-only_B50_s0_C5_duplicate_suppression,SUPG-RT-confirmed-only,50,realcartest,10,11100,11199,1110.0,1120.0,0.4097589050237029,C5_duplicate_suppression,44,111,SUPG-RT-confirmed-only,C5_duplicate_suppression
