run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,selector,materializer_variant
SUPG-RT-confirmed-only_B80_s4_F5_full_minus_conservative_expansion,SUPG-RT-confirmed-only,80,realcartest,0,500,599,50.0,60.0,0.3522120993424013,F5_full_minus_conservative_expansion,56,5,SUPG-RT-confirmed-only,F5_full_minus_conservative_expansion
SUPG-RT-confirmed-only_B80_s4_F5_full_minus_conservative_expansion,SUPG-RT-confirmed-only,80,realcartest,1,1200,1299,120.0,130.0,0.3507529698913206,F5_full_minus_conservative_expansion,56,12,SUPG-RT-confirmed-only,F5_full_minus_conservative_expansion
SUPG-RT-confirmed-only_B80_s4_F5_full_minus_conservative_expansion,SUPG-RT-confirmed-only,80,realcartest,2,3200,3299,320.0,330.0,0.2178679718882723,F5_full_minus_conservative_expansion,56,32,SUPG-RT-confirmed-only,F5_full_minus_conservative_expansion
SUPG-RT-confirmed-only_B80_s4_F5_full_minus_conservative_expansion,SUPG-RT-confirmed-only,80,realcartest,3,3900,3999,390.0,400.0,0.3501125549310816,F5_full_minus_conservative_expansion,56,39,SUPG-RT-confirmed-only,F5_full_minus_conservative_expansion
SUPG-RT-confirmed-only_B80_s4_F5_full_minus_conservative_expansion,SUPG-RT-confirmed-only,80,realcartest,4,4900,5099,490.0,510.0,0.45232344458656976,F5_full_minus_conservative_expansion,56,49|50,SUPG-RT-confirmed-only,F5_full_minus_conservative_expansion
SUPG-RT-confirmed-only_B80_s4_F5_full_minus_conservative_expansion,SUPG-RT-confirmed-only,80,realcartest,5,5300,5399,530.0,540.0,0.2451944604958394,F5_full_minus_conservative_expansion,56,53,SUPG-RT-confirmed-only,F5_full_minus_conservative_expansion
SUPG-RT-confirmed-only_B80_s4_F5_full_minus_conservative_expansion,SUPG-RT-confirmed-only,80,realcartest,6,7100,7199,710.0,720.0,0.4250146762726758,F5_full_minus_conservative_expansion,56,71,SUPG-RT-confirmed-only,F5_full_minus_conservative_expansion
SUPG-RT-confirmed-only_B80_s4_F5_full_minus_conservative_expansion,SUPG-RT-confirmed-only,80,realcartest,7,7600,7799,760.0,780.0,0.3702127589221131,F5_full_minus_conservative_expansion,56,76|77,SUPG-RT-confirmed-only,F5_full_minus_conservative_expansion
SUPG-RT-confirmed-only_B80_s4_F5_full_minus_conservative_expansion,SUPG-RT-confirmed-only,80,realcartest,8,7900,8199,790.0,820.0,0.42055797684040924,F5_full_minus_conservative_expansion,56,79|80|81,SUPG-RT-confirmed-only,F5_full_minus_conservative_expansion
SUPG-RT-confirmed-only_B80_s4_F5_full_minus_conservative_expansion,SUPG-RT-confirmed-only,80,realcartest,9,8300,8699,830.0,870.0,0.4287805485130094,F5_full_minus_conservative_expansion,56,83|84|85|86,SUPG-RT-confirmed-only,F5_full_minus_conservative_expansion
