run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,selector,materializer_variant
ARC-refinement_th0p4_B80_s3_K2_gap_duration,ARC-refinement,80,realcartest,0,500,599,50.0,60.0,0.3522120993424013,K2_gap_duration,80,5,ARC-refinement@th0.4,K2_gap_duration
ARC-refinement_th0p4_B80_s3_K2_gap_duration,ARC-refinement,80,realcartest,1,2500,2599,250.0,260.0,0.2458370010258339,K2_gap_duration,80,25,ARC-refinement@th0.4,K2_gap_duration
ARC-refinement_th0p4_B80_s3_K2_gap_duration,ARC-refinement,80,realcartest,2,3800,4099,380.0,410.0,0.2822744858199662,K2_gap_duration,80,38|39|40,ARC-refinement@th0.4,K2_gap_duration
ARC-refinement_th0p4_B80_s3_K2_gap_duration,ARC-refinement,80,realcartest,3,4900,5099,490.0,510.0,0.45232344458656976,K2_gap_duration,80,49|50,ARC-refinement@th0.4,K2_gap_duration
ARC-refinement_th0p4_B80_s3_K2_gap_duration,ARC-refinement,80,realcartest,4,5600,5699,560.0,570.0,0.3856315896264007,K2_gap_duration,80,56,ARC-refinement@th0.4,K2_gap_duration
ARC-refinement_th0p4_B80_s3_K2_gap_duration,ARC-refinement,80,realcartest,5,7000,7199,700.0,720.0,0.392924354368701,K2_gap_duration,80,70|71,ARC-refinement@th0.4,K2_gap_duration
ARC-refinement_th0p4_B80_s3_K2_gap_duration,ARC-refinement,80,realcartest,6,7600,7999,760.0,800.0,0.3707136728286935,K2_gap_duration,80,76|77|78|79,ARC-refinement@th0.4,K2_gap_duration
ARC-refinement_th0p4_B80_s3_K2_gap_duration,ARC-refinement,80,realcartest,7,8100,8499,810.0,850.0,0.4188877993471394,K2_gap_duration,80,81|82|83|84,ARC-refinement@th0.4,K2_gap_duration
ARC-refinement_th0p4_B80_s3_K2_gap_duration,ARC-refinement,80,realcartest,8,8500,8899,850.0,890.0,0.4874369807218173,K2_gap_duration,80,85|86|87|88,ARC-refinement@th0.4,K2_gap_duration
ARC-refinement_th0p4_B80_s3_K2_gap_duration,ARC-refinement,80,realcartest,9,9600,9899,960.0,990.0,0.3168355273414083,K2_gap_duration,80,96|97|98,ARC-refinement@th0.4,K2_gap_duration
ARC-refinement_th0p4_B80_s3_K2_gap_duration,ARC-refinement,80,realcartest,10,10600,10699,1060.0,1070.0,0.379637015441183,K2_gap_duration,80,106,ARC-refinement@th0.4,K2_gap_duration
ARC-refinement_th0p4_B80_s3_K2_gap_duration,ARC-refinement,80,realcartest,11,11100,11199,1110.0,1120.0,0.4097589050237029,K2_gap_duration,80,111,ARC-refinement@th0.4,K2_gap_duration
