run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,selector,materializer_variant
SUPG-RT-all-selected_B80_s2_C6_full_EVENT_MATERIALIZE,SUPG-RT-all-selected,80,realcartest,0,200,599,20.0,60.0,0.2920223968352233,C6_full_EVENT_MATERIALIZE,63,2|3|4|5,SUPG-RT-all-selected,C6_full_EVENT_MATERIALIZE
SUPG-RT-all-selected_B80_s2_C6_full_EVENT_MATERIALIZE,SUPG-RT-all-selected,80,realcartest,1,700,899,70.0,90.0,0.2625479384071393,C6_full_EVENT_MATERIALIZE,63,7|8,SUPG-RT-all-selected,C6_full_EVENT_MATERIALIZE
SUPG-RT-all-selected_B80_s2_C6_full_EVENT_MATERIALIZE,SUPG-RT-all-selected,80,realcartest,2,3900,4099,390.0,410.0,0.2927334893746923,C6_full_EVENT_MATERIALIZE,63,39|40,SUPG-RT-all-selected,C6_full_EVENT_MATERIALIZE
SUPG-RT-all-selected_B80_s2_C6_full_EVENT_MATERIALIZE,SUPG-RT-all-selected,80,realcartest,3,4800,5199,480.0,520.0,0.4060050983903223,C6_full_EVENT_MATERIALIZE,63,48|49|50|51,SUPG-RT-all-selected,C6_full_EVENT_MATERIALIZE
SUPG-RT-all-selected_B80_s2_C6_full_EVENT_MATERIALIZE,SUPG-RT-all-selected,80,realcartest,4,5200,5399,520.0,540.0,0.26633202442640064,C6_full_EVENT_MATERIALIZE,63,52|53,SUPG-RT-all-selected,C6_full_EVENT_MATERIALIZE
SUPG-RT-all-selected_B80_s2_C6_full_EVENT_MATERIALIZE,SUPG-RT-all-selected,80,realcartest,5,5600,5899,560.0,590.0,0.3292559331111777,C6_full_EVENT_MATERIALIZE,63,56|57|58,SUPG-RT-all-selected,C6_full_EVENT_MATERIALIZE
SUPG-RT-all-selected_B80_s2_C6_full_EVENT_MATERIALIZE,SUPG-RT-all-selected,80,realcartest,6,7000,7299,700.0,730.0,0.37292089396495326,C6_full_EVENT_MATERIALIZE,63,70|71|72,SUPG-RT-all-selected,C6_full_EVENT_MATERIALIZE
SUPG-RT-all-selected_B80_s2_C6_full_EVENT_MATERIALIZE,SUPG-RT-all-selected,80,realcartest,7,7500,7799,750.0,780.0,0.3515630957703566,C6_full_EVENT_MATERIALIZE,63,75|76|77,SUPG-RT-all-selected,C6_full_EVENT_MATERIALIZE
SUPG-RT-all-selected_B80_s2_C6_full_EVENT_MATERIALIZE,SUPG-RT-all-selected,80,realcartest,8,7900,7999,790.0,800.0,0.4111073851885846,C6_full_EVENT_MATERIALIZE,63,79,SUPG-RT-all-selected,C6_full_EVENT_MATERIALIZE
SUPG-RT-all-selected_B80_s2_C6_full_EVENT_MATERIALIZE,SUPG-RT-all-selected,80,realcartest,9,8100,8599,810.0,860.0,0.42663490627083434,C6_full_EVENT_MATERIALIZE,63,81|82|83|84|85,SUPG-RT-all-selected,C6_full_EVENT_MATERIALIZE
SUPG-RT-all-selected_B80_s2_C6_full_EVENT_MATERIALIZE,SUPG-RT-all-selected,80,realcartest,10,8500,8899,850.0,890.0,0.4874369807218173,C6_full_EVENT_MATERIALIZE,63,85|86|87|88,SUPG-RT-all-selected,C6_full_EVENT_MATERIALIZE
SUPG-RT-all-selected_B80_s2_C6_full_EVENT_MATERIALIZE,SUPG-RT-all-selected,80,realcartest,11,9500,9699,950.0,970.0,0.31686340485634107,C6_full_EVENT_MATERIALIZE,63,95|96,SUPG-RT-all-selected,C6_full_EVENT_MATERIALIZE
SUPG-RT-all-selected_B80_s2_C6_full_EVENT_MATERIALIZE,SUPG-RT-all-selected,80,realcartest,12,11000,11299,1100.0,1130.0,0.3103572399418771,C6_full_EVENT_MATERIALIZE,63,110|111|112,SUPG-RT-all-selected,C6_full_EVENT_MATERIALIZE
