check,status,detail
oracle logs unchanged,PASS,files=270
"fixed params, no reference tuning",PASS,"G=1,D_core=40.0,D_seg=60.0,E=1"
ABae-stratified-confirmed B=100 s=0 oracle order,PASS,calls=100
ABae-stratified-confirmed B=100 s=0 calls <= budget,PASS,calls=100 budget=100
ABae-stratified-confirmed B=100 s=0 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=19
ABae-stratified-confirmed B=100 s=0 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=19
ABae-stratified-confirmed B=100 s=0 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=19
ABae-stratified-confirmed B=100 s=0 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=100 s=0 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=69
ABae-stratified-confirmed B=100 s=0 K0_naive_merge confirmed anchor,PASS,segments=1
ABae-stratified-confirmed B=100 s=0 K0_naive_merge no NaN,PASS,segments=1
ABae-stratified-confirmed B=100 s=0 K0_naive_merge nonnegative duration,PASS,segments=1
ABae-stratified-confirmed B=100 s=0 K1_gap_limited confirmed anchor,PASS,segments=13
ABae-stratified-confirmed B=100 s=0 K1_gap_limited no NaN,PASS,segments=13
ABae-stratified-confirmed B=100 s=0 K1_gap_limited nonnegative duration,PASS,segments=13
ABae-stratified-confirmed B=100 s=0 K2_gap_duration confirmed anchor,PASS,segments=16
ABae-stratified-confirmed B=100 s=0 K2_gap_duration no NaN,PASS,segments=16
ABae-stratified-confirmed B=100 s=0 K2_gap_duration nonnegative duration,PASS,segments=16
ABae-stratified-confirmed B=100 s=0 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=100 s=0 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=19
ABae-stratified-confirmed B=100 s=0 K3_gap_duration_negative_barrier no NaN,PASS,segments=19
ABae-stratified-confirmed B=100 s=0 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=19
ABae-stratified-confirmed B=100 s=0 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=100 s=0 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=69
ABae-stratified-confirmed B=100 s=0 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=19
ABae-stratified-confirmed B=100 s=0 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=19
ABae-stratified-confirmed B=100 s=0 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=19
ABae-stratified-confirmed B=100 s=0 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=100 s=0 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=69
ABae-stratified-confirmed B=100 s=0 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
