component_id,start_time,end_time,core_unit_id,candidate_unit_ids,max_proxy,mean_proxy,length_units,distance_to_nearest_queried_unit,queried_count,positive_anchor_count,status,budget,seed,method
0,1020.0,1080.0,105,102|103|104|105|106|107,0.5205731540797527,0.4570699571827381,6,0,6,1,positive_found,100,0,MAP-anchor-only + K3 BB-EM
1,840.0,890.0,88,84|85|86|87|88,0.5145577373961224,0.4755420167135872,5,0,5,5,positive_found,100,0,MAP-anchor-only + K3 BB-EM
2,920.0,940.0,93,92|93,0.4748980540999212,0.4631190075177608,2,0,2,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
3,490.0,520.0,49,49|50|51,0.4735633653135126,0.45801129914208305,3,0,3,2,positive_found,100,0,MAP-anchor-only + K3 BB-EM
4,790.0,830.0,81,79|80|81|82,0.4720638864573329,0.4220098289215258,4,0,4,2,positive_found,100,0,MAP-anchor-only + K3 BB-EM
5,360.0,370.0,36,36,0.4690838966129135,0.4690838966129135,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
6,700.0,720.0,71,70|71,0.4250146762726758,0.392924354368701,2,0,2,2,positive_found,100,0,MAP-anchor-only + K3 BB-EM
7,1110.0,1120.0,111,111,0.4097589050237029,0.4097589050237029,1,0,1,1,positive_found,100,0,MAP-anchor-only + K3 BB-EM
8,730.0,740.0,73,73,0.4057423420257025,0.4057423420257025,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
9,680.0,690.0,68,68,0.4049665247410922,0.4049665247410922,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
10,0.0,10.0,0,0,0.4,0.4,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
11,760.0,770.0,76,76,0.3974774148773252,0.3974774148773252,1,0,1,1,positive_found,100,0,MAP-anchor-only + K3 BB-EM
12,950.0,960.0,95,95,0.3930275384547954,0.3930275384547954,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
13,550.0,570.0,55,55|56,0.3917806209083863,0.38870610526739346,2,0,2,1,positive_found,100,0,MAP-anchor-only + K3 BB-EM
14,980.0,1000.0,99,98|99,0.3913404234500853,0.3903383581538245,2,0,2,1,positive_found,100,0,MAP-anchor-only + K3 BB-EM
15,270.0,280.0,27,27,0.3882853357423186,0.3882853357423186,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
16,590.0,600.0,59,59,0.3685573506168952,0.3685573506168952,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
17,1180.0,1190.0,118,118,0.3682008363835091,0.3682008363835091,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
18,330.0,340.0,33,33,0.3543893665316283,0.3543893665316283,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
19,50.0,60.0,5,5,0.3522120993424013,0.3522120993424013,1,0,1,1,positive_found,100,0,MAP-anchor-only + K3 BB-EM
20,120.0,130.0,12,12,0.3507529698913206,0.3507529698913206,1,0,1,1,positive_found,100,0,MAP-anchor-only + K3 BB-EM
21,390.0,400.0,39,39,0.3501125549310816,0.3501125549310816,1,0,1,1,positive_found,100,0,MAP-anchor-only + K3 BB-EM
22,100.0,110.0,10,10,0.3467367359039481,0.3467367359039481,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
23,660.0,670.0,66,66,0.3381812183226065,0.3381812183226065,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
24,160.0,170.0,16,16,0.3355195024543571,0.3355195024543571,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
25,30.0,40.0,3,3,0.320872522854531,0.320872522854531,1,0,1,1,positive_found,100,0,MAP-anchor-only + K3 BB-EM
26,600.0,610.0,60,60,0.3148930426986801,0.3148930426986801,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
27,1150.0,1160.0,115,115,0.2806702374659445,0.2806702374659445,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
28,410.0,420.0,41,41,0.2503379029215565,0.2503379029215565,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
29,430.0,440.0,43,43,0.2133218368294702,0.2133218368294702,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
30,230.0,240.0,23,23,0.1908444247066472,0.1908444247066472,1,0,1,0,queried_negative_only,100,0,MAP-anchor-only + K3 BB-EM
