method,selector,family,budget,variant,aggregation,seed,seed_count,event_detection@overlap_any_precision,event_detection@overlap_any_recall,event_detection@overlap_any_F1,unique_reference_event_recall,prediction_count,predicted_segment_count,reference_event_count,prediction_count_error,avg_segment_duration,max_segment_duration,duration_p90,overmerge_multiplicity,references_per_predicted_segment,segments_per_reference,duplicate_prediction_rate,matched_mean_iou,iou_0.1,iou_0.3,iou_0.5,total_predicted_duration,total_reference_duration,overcoverage_ratio,oracle_calls,unique_events_per_query,queries_per_discovered_event,positive_anchor_count,positive_anchor_rate,output_path
ARC-refinement native,ARC-refinement@th0.3,baseline,5,native,mean,mean,5,0.5095238095238095,0.54,0.5241579558652729,0.6899999999999998,21.2,21.2,20.0,1.2,29.17359307359307,150.0,69.20000000000003,0.6984415584415584,0.6984415584415584,0.74,0.04722943722943723,0.18066671936758955,0.24279907084785135,0.1942392566782811,0.0,618.0,133.5000000000005,4.62921348314605,5.0,2.7599999999999993,0.3626373626373626,1.2,0.24,multiple_seed_outputs
ARC-refinement native,ARC-refinement@th0.4,baseline,5,native,mean,mean,5,0.476923076923077,0.3,0.3681818181818182,0.3,12.6,12.6,20.0,7.4,18.74358974358974,50.0,38.4,0.476923076923077,0.476923076923077,0.3,0.0,0.20750000000000232,0.12272727272727273,0.12272727272727273,0.06136363636363636,236.0,133.5000000000005,1.7677902621722779,5.0,1.2,0.8333333333333334,1.0,0.2,multiple_seed_outputs
ARC-refinement native,ARC-refinement@th0.2,baseline,5,native,mean,mean,5,0.5444444444444445,0.25,0.3425287356321839,1.0,9.2,9.2,20.0,10.8,108.24444444444444,630.0,211.80000000000004,2.177777777777778,2.177777777777778,1.0,0.0,0.09639826839826866,0.1370114942528736,0.0,0.0,994.0,133.5000000000005,7.445692883895103,0.6,6.0,0.030000000000000006,0.0,0.0,multiple_seed_outputs
SUPG-RT-all-selected native,SUPG-RT-all-selected,baseline,5,native,mean,mean,5,0.7722222222222221,0.2,0.26232391323135423,0.95,6.6,6.6,20.0,13.4,569.6666666666666,824.0,681.6,9.61111111111111,9.61111111111111,0.95,0.0,0.08359745796907166,0.08635813672111314,0.02105263157894737,0.010526315789473686,1076.0,133.5000000000005,8.059925093632927,4.8,4.0,0.25666666666666665,0.6,0.13,multiple_seed_outputs
MAP-anchor-only + K3 BB-EM,MAP-anchor-only + K3 BB-EM,map,5,MAP_anchor_only_K3,mean,mean,1,1.0,0.1,0.18181818181818182,0.1,2.0,2.0,20.0,18.0,10.0,10.0,10.0,1.0,1.0,0.1,0.0,0.4731230529595024,0.09090909090909091,0.09090909090909091,0.09090909090909091,20.0,133.5000000000005,0.14981273408239643,5.0,0.4,2.5,2.0,0.4,multiple_seed_outputs
ABae-stratified-confirmed + K3 BB-EM,ABae-stratified-confirmed,baseline,5,strengthened_K3,mean,mean,5,1.0,0.09000000000000001,0.16299642386598906,0.09000000000000001,1.8,1.8,20.0,18.2,10.0,10.0,10.0,1.0,1.0,0.09000000000000001,0.0,0.1854875844903061,0.07114624505928854,0.03557312252964427,0.01739130434782609,18.0,133.5000000000005,0.1348314606741568,5.0,0.36000000000000004,3.333333333333333,1.8,0.36000000000000004,multiple_seed_outputs
ABae-stratified-confirmed native,ABae-stratified-confirmed,baseline,5,native,mean,mean,5,1.0,0.09000000000000001,0.16299642386598906,0.09000000000000001,1.8,1.8,20.0,18.2,10.0,10.0,10.0,1.0,1.0,0.09000000000000001,0.0,0.1854875844903061,0.07114624505928854,0.03557312252964427,0.01739130434782609,18.0,133.5000000000005,0.1348314606741568,5.0,0.36000000000000004,3.333333333333333,1.8,0.36000000000000004,multiple_seed_outputs
Ours old + K3 BB-EM,Ours-Frozen-LATE-AQP-v1,ours,5,strengthened_K3,mean,mean,5,1.0,0.06,0.11255411255411256,0.06,1.2,1.2,20.0,18.8,18.0,18.0,18.0,1.0,1.0,0.06,0.0,0.15083333333333404,0.07619047619047618,0.0,0.0,20.0,133.5000000000005,0.14981273408239643,5.0,0.24,4.5,2.0,0.4,multiple_seed_outputs
ARC-refinement + K3 BB-EM,ARC-refinement@th0.3,baseline,5,strengthened_K3,mean,mean,5,0.8,0.06,0.11082251082251082,0.06,1.2,1.2,20.0,18.8,8.0,8.0,8.0,0.8,0.8,0.06,0.0,0.056000000000000646,0.0,0.0,0.0,12.0,133.5000000000005,0.08988764044943787,5.0,0.24,3.75,1.2,0.24,multiple_seed_outputs
Ours-Frozen-LATE-AQP-v1 native,Ours-Frozen-LATE-AQP-v1,ours,5,native,mean,mean,5,0.3333333333333333,0.06,0.10144927536231885,0.06,3.8,3.8,20.0,16.2,13.333333333333334,22.0,18.8,0.3333333333333333,0.3333333333333333,0.06,0.0,0.14616666666666736,0.06666666666666668,0.0,0.0,50.0,133.5000000000005,0.3745318352059911,5.0,0.24,4.5,2.0,0.4,multiple_seed_outputs
