mode,width_mode,scenario,planner,runs,coverage_95ci,mean_relative_ci_width,mean_audit_samples
full,isolated,none,audit_discover,120,1.000000,50.690964,56.200000
full,isolated,none,full_planner,120,0.975000,50.918148,56.258333
full,isolated,strong,audit_discover,120,0.991667,48.600567,56.300000
full,isolated,strong,full_planner,120,0.991667,48.609180,56.241667
full,isolated,weak,audit_discover,120,0.991667,47.304222,56.291667
full,isolated,weak,full_planner,120,0.983333,47.405793,56.341667
full,isolated,wrong,audit_discover,120,0.950000,48.430359,56.200000
full,isolated,wrong,full_planner,120,0.966667,48.298267,56.241667
full,narrow,none,audit_discover,120,1.000000,10.507010,56.250000
full,narrow,none,full_planner,120,1.000000,10.485027,56.225000
full,narrow,strong,audit_discover,120,1.000000,10.281397,56.191667
full,narrow,strong,full_planner,120,1.000000,10.373535,56.225000
full,narrow,weak,audit_discover,120,1.000000,10.630197,56.216667
full,narrow,weak,full_planner,120,1.000000,10.591837,56.141667
full,narrow,wrong,audit_discover,120,1.000000,11.051238,56.275000
full,narrow,wrong,full_planner,120,1.000000,11.038933,56.266667
full,wide,none,audit_discover,120,1.000000,2.261075,56.275000
full,wide,none,full_planner,120,1.000000,2.244583,56.266667
full,wide,strong,audit_discover,120,1.000000,1.858785,56.200000
full,wide,strong,full_planner,120,1.000000,1.853557,56.258333
full,wide,weak,audit_discover,120,1.000000,2.362598,56.208333
full,wide,weak,full_planner,120,1.000000,2.338028,56.216667
full,wide,wrong,audit_discover,120,1.000000,2.147830,56.141667
full,wide,wrong,full_planner,120,1.000000,2.129909,56.200000
