mode,width_mode,scenario,planner,budget,runs,missing_mass_fraction_mean,missing_mass_fraction_std,missing_mass_fraction_p025,missing_mass_fraction_p975,found_positive_bins_mean,found_positive_bins_std,found_positive_bins_p025,found_positive_bins_p975,audit_calls_mean,audit_calls_std,audit_calls_p025,audit_calls_p975,discover_calls_mean,discover_calls_std,discover_calls_p025,discover_calls_p975,repair_calls_mean,repair_calls_std,repair_calls_p025,repair_calls_p975,phi_upper_missing_mass_mean,phi_upper_missing_mass_std,phi_upper_missing_mass_p025,phi_upper_missing_mass_p975,phi_true_missing_mass_mean,phi_true_missing_mass_std,phi_true_missing_mass_p025,phi_true_missing_mass_p975
full,isolated,none,top_prior_only,20,120,0.992116,0.023409,0.916477,1.000000,0.141667,0.414243,0.000000,1.025000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000,121.391051,36.776953,79.883115,182.272727,0.992116,0.023409,0.916477,1.000000
full,isolated,none,top_prior_only,40,120,0.981495,0.037439,0.888725,1.000000,0.325000,0.634593,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,40.000000,0.000000,40.000000,40.000000,0.000000,0.000000,0.000000,0.000000,121.380430,36.775975,79.883115,182.272727,0.981495,0.037439,0.888725,1.000000
full,isolated,none,top_prior_only,80,120,0.956274,0.051748,0.833088,1.000000,0.758333,0.846521,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,80.000000,0.000000,80.000000,80.000000,0.000000,0.000000,0.000000,0.000000,121.355209,36.774882,79.843154,182.270227,0.956274,0.051748,0.833088,1.000000
full,isolated,none,top_prior_only,120,120,0.936186,0.062494,0.750000,1.000000,1.091667,0.983157,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,120.000000,0.000000,120.000000,120.000000,0.000000,0.000000,0.000000,0.000000,121.335121,36.771677,79.843154,182.270227,0.936186,0.062494,0.750000,1.000000
full,isolated,none,top_prior_only,160,120,0.912668,0.075479,0.750000,1.000000,1.491667,1.147431,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,160.000000,0.000000,160.000000,160.000000,0.000000,0.000000,0.000000,0.000000,121.311602,36.768074,79.804154,182.267727,0.912668,0.075479,0.750000,1.000000
full,isolated,none,uniform,20,120,0.990202,0.027829,0.882169,1.000000,0.175000,0.494343,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000,121.389136,36.777551,79.922115,182.272727,0.990202,0.027829,0.882169,1.000000
full,isolated,none,uniform,40,120,0.977340,0.037420,0.869493,1.000000,0.408333,0.664528,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,40.000000,0.000000,40.000000,40.000000,0.000000,0.000000,0.000000,0.000000,121.376275,36.778887,79.882154,182.272727,0.977340,0.037420,0.869493,1.000000
full,isolated,none,uniform,80,120,0.954170,0.049009,0.823396,1.000000,0.825000,0.881878,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,80.000000,0.000000,80.000000,80.000000,0.000000,0.000000,0.000000,0.000000,121.353105,36.781050,79.843154,182.272727,0.954170,0.049009,0.823396,1.000000
full,isolated,none,uniform,120,120,0.928313,0.060544,0.799643,1.000000,1.258333,1.076227,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,120.000000,0.000000,120.000000,120.000000,0.000000,0.000000,0.000000,0.000000,121.327247,36.772882,79.840269,182.272727,0.928313,0.060544,0.799643,1.000000
full,isolated,none,uniform,160,120,0.911683,0.066880,0.784405,1.000000,1.541667,1.182482,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,160.000000,0.000000,160.000000,160.000000,0.000000,0.000000,0.000000,0.000000,121.310617,36.764173,79.801269,182.272727,0.911683,0.066880,0.784405,1.000000
