clip_id,video_id,start_time,end_time,motion_energy_mean,motion_energy_max,motion_energy_std,motion_frames_sampled,vehicle_count_mean,vehicle_count_max,object_count_mean,object_count_max,bbox_area_sum_mean,bbox_area_sum_max,max_bbox_area_mean,max_bbox_area_max,center_roi_vehicle_count_mean,bottom_roi_vehicle_count_mean,yolo_status
long_video_dataset3_coarse_0000,long_video_dataset3,0.000,5.000,21.71636994949495,36.74234375,9.264008740836543,11,1.0,1.0,1.0,1.0,1867.3421630859375,1867.3421630859375,1867.3421630859375,1867.3421630859375,0.0,1.0,ok
long_video_dataset3_coarse_0001,long_video_dataset3,5.000,10.000,23.816723958333334,35.07076388888889,4.334079518928363,10,10.0,10.0,10.0,10.0,276023.15625,276023.15625,113697.890625,113697.890625,0.0,10.0,ok
long_video_dataset3_coarse_0002,long_video_dataset3,10.000,15.000,27.31035243055556,40.15171875,6.860125607905687,10,6.0,6.0,6.0,6.0,215581.375,215581.375,192490.140625,192490.140625,0.0,6.0,ok
long_video_dataset3_coarse_0003,long_video_dataset3,15.000,20.000,31.39769965277778,38.23430555555556,5.156420241351428,10,2.0,2.0,2.0,2.0,5619.98974609375,5619.98974609375,3470.708740234375,3470.708740234375,0.0,2.0,ok
long_video_dataset3_coarse_0004,long_video_dataset3,20.000,25.000,25.14374652777778,43.846041666666665,7.5786733431250655,10,9.0,9.0,9.0,9.0,362187.40625,362187.40625,206082.671875,206082.671875,0.0,9.0,ok
long_video_dataset3_coarse_0005,long_video_dataset3,25.000,30.000,36.80238888888889,51.01416666666667,13.608739319237658,10,3.0,3.0,3.0,3.0,24510.556640625,24510.556640625,10863.2373046875,10863.2373046875,0.0,3.0,ok
long_video_dataset3_coarse_0006,long_video_dataset3,30.000,35.000,39.842758680555555,49.73059027777778,6.217838812874171,10,4.0,4.0,4.0,4.0,62965.95703125,62965.95703125,32952.953125,32952.953125,0.0,4.0,ok
long_video_dataset3_coarse_0007,long_video_dataset3,35.000,40.000,18.071164930555554,42.00017361111111,14.635534717745541,10,1.0,1.0,1.0,1.0,1080.6678466796875,1080.6678466796875,1080.6678466796875,1080.6678466796875,0.0,1.0,ok
long_video_dataset3_coarse_0008,long_video_dataset3,40.000,45.000,12.378458333333334,15.345868055555556,2.546032247984841,10,11.0,11.0,11.0,11.0,226246.75,226246.75,140602.734375,140602.734375,0.0,11.0,ok
long_video_dataset3_coarse_0009,long_video_dataset3,45.000,50.000,48.72561284722222,60.021197916666665,4.4704260148674395,10,2.0,2.0,2.0,2.0,11426.974609375,11426.974609375,9180.21875,9180.21875,0.0,2.0,ok
long_video_dataset3_coarse_0010,long_video_dataset3,50.000,55.000,28.514921875000006,50.31633680555556,7.976261977991719,10,7.0,7.0,8.0,8.0,166649.90625,166649.90625,71543.859375,71543.859375,0.0,7.0,ok
long_video_dataset3_coarse_0011,long_video_dataset3,55.000,60.000,16.882046875000004,22.95699652777778,5.086600624026897,10,5.0,5.0,5.0,5.0,305117.875,305117.875,197633.046875,197633.046875,0.0,5.0,ok
long_video_dataset3_coarse_0012,long_video_dataset3,60.000,65.000,28.536602430555554,31.288159722222222,2.218978944171949,10,6.0,6.0,12.0,12.0,182478.171875,182478.171875,51489.375,51489.375,0.0,6.0,ok
long_video_dataset3_coarse_0013,long_video_dataset3,65.000,70.000,29.704769097222226,31.1365625,0.7832915401165871,10,4.0,4.0,4.0,4.0,76458.5546875,76458.5546875,53477.296875,53477.296875,0.0,4.0,ok
long_video_dataset3_coarse_0014,long_video_dataset3,70.000,75.000,24.330897569444446,28.331510416666667,1.3709671861771469,10,9.0,9.0,9.0,9.0,193156.890625,193156.890625,47583.64453125,47583.64453125,0.0,9.0,ok
long_video_dataset3_coarse_0015,long_video_dataset3,75.000,80.000,23.348210069444445,27.751319444444444,2.243783401519655,10,9.0,9.0,9.0,9.0,119355.328125,119355.328125,42835.65234375,42835.65234375,0.0,9.0,ok
long_video_dataset3_coarse_0016,long_video_dataset3,80.000,85.000,20.941109375,25.683229166666667,2.264341563474139,10,7.0,7.0,7.0,7.0,115175.0078125,115175.0078125,53747.61328125,53747.61328125,0.0,7.0,ok
long_video_dataset3_coarse_0017,long_video_dataset3,85.000,90.000,20.618982638888887,24.603350694444444,2.086039254742901,10,4.0,4.0,4.0,4.0,46223.5078125,46223.5078125,35615.57421875,35615.57421875,0.0,4.0,ok
long_video_dataset3_coarse_0018,long_video_dataset3,90.000,95.000,17.525236111111113,22.440989583333334,1.9254773373683816,10,4.0,4.0,4.0,4.0,24747.9609375,24747.9609375,12240.291015625,12240.291015625,0.0,4.0,ok
long_video_dataset3_coarse_0019,long_video_dataset3,95.000,100.000,19.48186805555556,25.08140625,2.9195880399758196,10,7.0,7.0,7.0,7.0,42561.1484375,42561.1484375,19690.52734375,19690.52734375,0.0,7.0,ok
long_video_dataset3_coarse_0020,long_video_dataset3,100.000,105.000,18.515967013888886,23.85887152777778,2.052668059334237,10,6.0,6.0,7.0,7.0,27354.861328125,27354.861328125,6370.62451171875,6370.62451171875,0.0,6.0,ok
long_video_dataset3_coarse_0021,long_video_dataset3,105.000,110.000,20.19335763888889,24.068993055555556,3.50675993890504,10,9.0,9.0,11.0,11.0,123594.6015625,123594.6015625,46322.01953125,46322.01953125,0.0,9.0,ok
long_video_dataset3_coarse_0022,long_video_dataset3,110.000,115.000,34.130263888888884,44.129756944444445,5.356408556873411,10,7.0,7.0,9.0,9.0,151288.71875,151288.71875,55683.69140625,55683.69140625,0.0,7.0,ok
long_video_dataset3_coarse_0023,long_video_dataset3,115.000,120.000,43.80518055555556,53.17074652777778,6.52075163876911,10,1.0,1.0,2.0,2.0,301015.6875,301015.6875,296880.53125,296880.53125,0.0,1.0,ok
long_video_dataset3_coarse_0024,long_video_dataset3,120.000,125.000,21.55759722222222,25.777916666666666,3.103514337142532,10,3.0,3.0,3.0,3.0,7708.4814453125,7708.4814453125,5103.98974609375,5103.98974609375,0.0,3.0,ok
long_video_dataset3_coarse_0025,long_video_dataset3,125.000,130.000,17.279562500000004,18.542552083333334,0.7644349073579042,10,2.0,2.0,2.0,2.0,21684.05078125,21684.05078125,19540.388671875,19540.388671875,0.0,2.0,ok
long_video_dataset3_coarse_0026,long_video_dataset3,130.000,135.000,19.645090277777776,21.342378472222222,1.2664599928524594,10,3.0,3.0,3.0,3.0,3314.547119140625,3314.547119140625,1198.7547607421875,1198.7547607421875,0.0,3.0,ok
