branch,metric,value,scope,status
safe_coverage,V0_full_horizon_auc,0.5296428571,PSP_V0_SHORT_pseudo_reference,SELECTED_SAFE_POLICY_EVIDENCE
safe_coverage,V1_macro_baseline_full_horizon_auc,0.5282383420,PSP_V1_LONG_pseudo_reference,EVALUATION_BASELINE
fixed_ratio,development_video_count,2,two_queries_each,SELECTED
fixed_ratio,scan_target_fraction,0.25,realized_wallclock,SELECTED
fixed_ratio,confirm_target_fraction,0.75,realized_wallclock,SELECTED
myopic_vps,primary_utility_auc_delta,-187.5,two_video_four_query_replay,NOT_ESTABLISHED
multi_fidelity,P1L_recall_at_20_macro,0.324907,two_design_videos,FAIL_BELOW_0.40_GATE
multi_fidelity,P1L_preview_cost_ratio,0.032729836,two_design_videos,FAIL
common_utility,static_balanced_accuracy,0.507353,21_informative_states,FAIL
common_utility,confirm_brier,0.122022,two_informative_groups,WORSE_THAN_CONSTANT_0.114931
selected_frontier,preliminary_eligible_new_videos,1,required_4,BLOCKED
selected_frontier,missing_new_videos,3,required_4,BLOCKED
