method,budget,precision_target,iou_threshold,mean_event_recall,std_event_recall,mean_precision,mean_expected_precision,mean_returned_interval_count,mean_duration_inflation,mean_duplicate_rate
arc_style_prune_refine,20,0.8,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,20,0.8,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,20,0.9,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,20,0.9,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,40,0.8,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,40,0.8,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,40,0.9,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,40,0.9,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,80,0.8,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,80,0.8,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,80,0.9,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,80,0.9,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,160,0.8,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,160,0.8,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,160,0.9,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
arc_style_prune_refine,160,0.9,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,20,0.8,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,20,0.8,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,20,0.9,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,20,0.9,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,40,0.8,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,40,0.8,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,40,0.9,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,40,0.9,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,80,0.8,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,80,0.8,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,80,0.9,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,80,0.9,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,160,0.8,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,160,0.8,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,160,0.9,0.3,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
audited_proposal_repair,160,0.9,0.5,0.0,0.0,0.0,,1.0,0.25764895330112697,0.0
cils_craq_lite,20,0.8,0.3,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,20,0.8,0.5,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,20,0.9,0.3,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,20,0.9,0.5,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,40,0.8,0.3,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,40,0.8,0.5,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,40,0.9,0.3,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,40,0.9,0.5,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,80,0.8,0.3,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,80,0.8,0.5,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,80,0.9,0.3,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,80,0.9,0.5,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,160,0.8,0.3,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,160,0.8,0.5,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,160,0.9,0.3,0.0,0.0,,0.0,0.0,0.0,0.0
cils_craq_lite,160,0.9,0.5,0.0,0.0,,0.0,0.0,0.0,0.0
fixed_window_topk,20,0.8,0.3,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,20,0.8,0.5,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,20,0.9,0.3,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,20,0.9,0.5,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,40,0.8,0.3,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,40,0.8,0.5,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,40,0.9,0.3,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,40,0.9,0.5,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,80,0.8,0.3,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
