method,setting,budget,trial,recall,precision,invalid_rate,candidate_calls,audit_calls
candidate_only,label_K10_min15,200,0,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,0,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,0,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,0,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,1,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,1,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,1,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,1,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,2,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,2,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,2,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,2,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,3,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,3,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,3,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,3,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,4,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,4,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,4,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,4,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,5,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,5,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,5,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,5,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,6,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,6,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,6,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,6,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,7,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,7,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,7,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,7,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,8,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,8,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,8,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,8,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,9,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,9,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,9,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,9,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,10,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,10,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,10,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,10,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,11,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,11,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,11,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,11,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,12,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,12,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,12,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,12,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,13,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,13,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,13,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,13,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,14,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,14,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,14,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,14,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,15,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,15,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,15,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,15,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,16,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,16,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,16,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,16,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,17,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,17,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,17,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,17,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,18,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,18,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,18,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,18,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,19,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,19,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,19,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,19,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,20,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,20,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,20,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,20,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,21,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,21,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,21,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,21,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,22,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,22,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,22,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,22,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,23,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,23,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,23,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,23,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,24,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,24,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,24,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,24,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,25,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,25,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,25,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,25,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,26,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,26,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,26,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,26,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,27,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,27,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,27,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,27,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,28,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,28,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,28,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,28,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,29,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,29,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,29,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,29,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,800,0,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,0,0.2222222222222222,0.4444444444444444,0.5555555555555556,640,160
