method,budget,mean_recall,std_recall,mean_precision,mean_num_pred_clips,mean_oracle_calls,mean_seed_calls,mean_boundary_calls,mean_split_calls,mean_unique_oracle_calls,mean_short_recall,mean_medium_recall,mean_long_recall
uniform_frame_stitch,50,0.0125,0.02391481200304559,0.016828522784405137,17.36,50.0,0.0,0.0,0.0,50.0,0.0175,0.01,0.0
uniform_frame_stitch,100,0.048888888888888885,0.04113894360198603,0.03668776703953768,29.075,100.0,0.0,0.0,0.0,100.0,0.061000000000000006,0.05,0.006666666666666666
uniform_frame_stitch,200,0.12,0.0640952049491616,0.06927481183644063,35.465,200.0,0.0,0.0,0.0,200.0,0.11800000000000001,0.153,0.07166666666666666
uniform_frame_stitch,400,0.19305555555555554,0.07324205865672538,0.09606509384724554,46.27,400.0,0.0,0.0,0.0,400.0,0.168,0.229,0.21666666666666665
uniform_frame_stitch,800,0.29833333333333334,0.0870535680908726,0.09735602423740737,60.37,800.0,0.0,0.0,0.0,800.0,0.28,0.35700000000000004,0.26166666666666666
uniform_frame_stitch,1200,0.32638888888888884,0.09757553254987436,0.09851299979208232,68.51,1200.0,0.0,0.0,0.0,1200.0,0.27149999999999996,0.419,0.355
uniform_seed_boundary_expbin,50,0.007777777777777777,0.01932543142520904,0.14,0.32,51.98,3.91,30.61,17.46,51.98,0.013500000000000002,0.001,0.0
uniform_seed_boundary_expbin,100,0.04805555555555555,0.028766598959699265,0.745,1.07,102.0,4.15,33.54,64.31,102.0,0.03,0.11,0.005
uniform_seed_boundary_expbin,200,0.10722222222222222,0.03500817484494608,0.9229999999999999,2.155,201.985,4.69,37.945,159.35,201.985,0.04850000000000001,0.269,0.03333333333333333
uniform_seed_boundary_expbin,400,0.2338888888888889,0.06580260822779929,0.9442954545454546,4.64,402.0,5.31,41.995,354.695,402.0,0.1705,0.39,0.185
uniform_seed_boundary_expbin,800,0.43527777777777776,0.07017952659588766,0.9817385903570114,8.92,802.0,7.425,54.655,739.92,802.0,0.4055,0.491,0.44166666666666665
uniform_seed_boundary_expbin,1200,0.6188888888888888,0.12978720050232861,0.9845693437825791,13.345,1201.99,11.315,75.9,1114.775,1201.99,0.5844999999999999,0.7020000000000001,0.595
uniform_seed_boundary_linear,50,0.027777777777777776,0.030505390015963665,0.435,1.09,51.92,4.81,47.11,0.0,51.92,0.025,0.05,0.0
uniform_seed_boundary_linear,100,0.04361111111111111,0.03813275435273088,0.525,1.39,101.945,6.55,95.395,0.0,101.945,0.030500000000000003,0.07100000000000001,0.04166666666666666
uniform_seed_boundary_linear,200,0.0936111111111111,0.044408660915864366,0.884,1.975,201.965,8.625,193.34,0.0,201.965,0.044000000000000004,0.11,0.23166666666666663
uniform_seed_boundary_linear,400,0.17527777777777778,0.052865497644903094,0.9088690476190476,3.51,401.9,15.935,385.965,0.0,401.9,0.086,0.201,0.43
uniform_seed_boundary_linear,800,0.37666666666666665,0.06847537134745081,0.9581805555555556,7.09,801.83,39.18,762.65,0.0,801.83,0.201,0.473,0.8016666666666667
uniform_seed_boundary_linear,1200,0.6330555555555556,0.06298642833560324,0.9903585581085581,11.51,1201.54,92.53,1109.01,0.0,1201.54,0.43,0.828,0.985
