method,budget,trial,oracle_calls,seed_calls,boundary_calls,split_calls,recall,precision,num_pred_clips
frame_stitch,50,0,50,0,0,0,0.0,0.0,17
expbin_dense_split,50,0,52,3,36,13,0.0,0.0,0
expbin_proxy_q0.1_r1,50,0,51,5,46,0,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r2,50,0,51,5,46,0,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r3,50,0,51,5,46,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r1,50,0,51,5,46,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r2,50,0,51,5,46,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r3,50,0,51,5,46,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r1,50,0,51,5,46,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r2,50,0,51,5,46,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r3,50,0,51,5,46,0,0.05555555555555555,0.5,2
frame_stitch,50,1,50,0,0,0,0.0,0.0,16
expbin_dense_split,50,1,52,7,22,23,0.0,0.0,0
expbin_proxy_q0.1_r1,50,1,52,9,40,3,0.1111111111111111,0.6666666666666666,3
expbin_proxy_q0.1_r2,50,1,52,9,38,5,0.05555555555555555,0.3333333333333333,3
expbin_proxy_q0.1_r3,50,1,52,9,36,7,0.1111111111111111,0.6666666666666666,3
expbin_proxy_q0.2_r1,50,1,52,9,28,15,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r2,50,1,50,8,22,20,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r3,50,1,50,7,22,21,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r1,50,1,50,7,22,21,0.0,0.0,2
expbin_proxy_q0.3_r2,50,1,50,7,22,21,0.0,0.0,2
expbin_proxy_q0.3_r3,50,1,50,7,22,21,0.0,0.0,2
frame_stitch,50,2,50,0,0,0,0.0,0.0,17
expbin_dense_split,50,2,52,3,32,17,0.0,0.0,0
expbin_proxy_q0.1_r1,50,2,50,18,32,0,0.0,0.0,1
expbin_proxy_q0.1_r2,50,2,50,18,32,0,0.0,0.0,1
expbin_proxy_q0.1_r3,50,2,50,18,32,0,0.0,0.0,1
expbin_proxy_q0.2_r1,50,2,50,18,32,0,0.0,0.0,1
expbin_proxy_q0.2_r2,50,2,50,18,32,0,0.0,0.0,1
expbin_proxy_q0.2_r3,50,2,50,18,32,0,0.0,0.0,1
expbin_proxy_q0.3_r1,50,2,50,3,32,15,0.0,0.0,2
expbin_proxy_q0.3_r2,50,2,50,3,32,15,0.0,0.0,2
expbin_proxy_q0.3_r3,50,2,50,3,32,15,0.0,0.0,2
frame_stitch,50,3,50,0,0,0,0.0,0.0,17
expbin_dense_split,50,3,52,5,30,17,0.0,0.0,0
expbin_proxy_q0.1_r1,50,3,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.1_r2,50,3,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.1_r3,50,3,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.2_r1,50,3,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.2_r2,50,3,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.2_r3,50,3,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.3_r1,50,3,50,5,30,15,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r2,50,3,50,5,30,15,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r3,50,3,50,5,30,15,0.05555555555555555,0.5,2
frame_stitch,50,4,50,0,0,0,0.0,0.0,19
expbin_dense_split,50,4,52,2,36,14,0.0,0.0,0
expbin_proxy_q0.1_r1,50,4,50,2,36,12,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r2,50,4,50,2,36,12,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r3,50,4,50,2,36,12,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r1,50,4,50,2,36,12,0.0,0.0,2
expbin_proxy_q0.2_r2,50,4,50,2,36,12,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r3,50,4,50,2,36,12,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r1,50,4,50,2,36,12,0.0,0.0,2
expbin_proxy_q0.3_r2,50,4,50,2,36,12,0.0,0.0,2
expbin_proxy_q0.3_r3,50,4,50,2,36,12,0.0,0.0,2
frame_stitch,50,5,50,0,0,0,0.0,0.0,17
expbin_dense_split,50,5,50,7,28,15,0.0,0.0,0
expbin_proxy_q0.1_r1,50,5,52,15,37,0,0.0,0.0,1
expbin_proxy_q0.1_r2,50,5,52,15,37,0,0.0,0.0,1
expbin_proxy_q0.1_r3,50,5,52,15,37,0,0.0,0.0,1
