K,tau,budget,fixed_rate_framedrop,fixed_rate_clipdrop,fixed_rate_ratio,fixed_rate_C_gt_F,uniform_random_framedrop,uniform_random_clipdrop,uniform_random_ratio,uniform_random_C_gt_F,proxy_threshold_framedrop,proxy_threshold_clipdrop,proxy_threshold_ratio,proxy_threshold_C_gt_F,arc_clustering_framedrop,arc_clustering_clipdrop,arc_clustering_ratio,arc_clustering_C_gt_F,clip_gt_frame_count
2,10,0.05,0.0,0.0,inf,False,0.0,0.0,inf,False,0.0179,0.676,37.7,True,0.0407,0.848,20.83,True,2
2,10,0.1,0.0004,0.0,0.0,False,0.0001,0.002,27.94,True,0.0183,0.608,33.3,True,0.0413,0.848,20.51,True,3
2,10,0.2,0.0002,0.002,10.38,True,0.0001,0.002,19.29,True,0.0107,0.3167,29.59,True,0.0397,0.7967,20.05,True,4
2,10,0.4,0.0,0.0,0.0,False,0.0,0.0,inf,False,0.0008,0.028,35.0,True,0.0408,0.802,19.63,True,2
2,20,0.05,0.0007,0.0033,4.66,True,0.0003,0.0053,20.9,True,0.0184,0.5833,31.62,True,0.0423,0.8453,20.01,True,4
2,20,0.1,0.0,0.0,inf,False,0.0001,0.0,0.0,False,0.0173,0.596,34.46,True,0.0414,0.832,20.09,True,2
2,20,0.2,0.0,0.0,inf,False,0.0,0.0,inf,False,0.0117,0.36,30.86,True,0.0417,0.836,20.06,True,2
2,20,0.4,0.0,0.0,0.0,False,0.0,0.002,inf,True,0.0009,0.024,26.09,True,0.0392,0.792,20.18,True,3
2,30,0.05,0.0003,0.0,0.0,False,0.0003,0.0,0.0,False,0.0178,0.58,32.65,True,0.0401,0.816,20.34,True,2
2,30,0.1,0.0001,0.0,0.0,False,0.0002,0.002,10.53,True,0.018,0.612,34.0,True,0.0412,0.844,20.47,True,3
2,30,0.2,0.0,0.0,inf,False,0.0,0.0,inf,False,0.0109,0.356,32.76,True,0.0406,0.812,20.02,True,2
2,30,0.4,0.0,0.0,inf,False,0.0,0.0,inf,False,0.0017,0.044,25.77,True,0.0406,0.812,19.99,True,2
2,60,0.05,0.0001,0.0,0.0,False,0.0007,0.0,0.0,False,0.0203,0.648,31.9,True,0.0461,0.844,18.29,True,2
2,60,0.1,0.0,0.0,inf,False,0.0,0.0,inf,False,0.0167,0.568,33.97,True,0.0388,0.836,21.56,True,2
2,60,0.2,0.0,0.0,0.0,False,0.0,0.0,inf,False,0.0108,0.336,31.26,True,0.0411,0.788,19.16,True,2
2,60,0.4,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0011,0.02,18.36,True,0.0424,0.828,19.53,True,2
3,10,0.05,0.001,0.0113,11.66,True,0.0018,0.0093,5.12,True,0.0432,0.7833,18.13,True,0.0928,0.89,9.59,True,4
3,10,0.1,0.0001,0.0,0.0,False,0.0003,0.0,0.0,False,0.0405,0.832,20.54,True,0.087,0.956,10.99,True,2
3,10,0.2,0.0004,0.0,0.0,False,0.0004,0.0013,3.3,True,0.0393,0.742,18.88,True,0.0916,0.954,10.41,True,3
3,10,0.4,0.0001,0.006,47.58,True,0.0004,0.002,5.38,True,0.0159,0.338,21.24,True,0.0872,0.904,10.36,True,4
3,20,0.05,0.0008,0.006,7.29,True,0.0003,0.0053,16.46,True,0.0419,0.8523,20.36,True,0.0939,0.9497,10.11,True,4
3,20,0.1,0.0004,0.0,0.0,False,0.0001,0.002,23.63,True,0.0432,0.802,18.55,True,0.0933,0.946,10.14,True,3
3,20,0.2,0.0003,0.002,6.22,True,0.0002,0.006,34.53,True,0.0378,0.738,19.54,True,0.0889,0.918,10.33,True,4
3,20,0.4,0.0002,0.0,0.0,False,0.0002,0.0033,14.72,True,0.0179,0.3987,22.31,True,0.0937,0.9427,10.06,True,3
3,30,0.05,0.0006,0.0,0.0,False,0.0016,0.0,0.0,False,0.0422,0.842,19.96,True,0.0934,0.954,10.21,True,2
3,30,0.1,0.001,0.002,2.09,True,0.0011,0.0047,4.41,True,0.0426,0.8027,18.82,True,0.0931,0.9427,10.13,True,4
3,30,0.2,0.0003,0.004,13.32,True,0.0003,0.002,6.85,True,0.0407,0.794,19.5,True,0.0929,0.95,10.23,True,4
3,30,0.4,0.0,0.0,0.0,False,0.0001,0.0,0.0,False,0.0164,0.382,23.27,True,0.0916,0.958,10.46,True,2
3,60,0.05,0.0006,0.0,0.0,False,0.0006,0.002,3.61,True,0.0438,0.858,19.6,True,0.0973,0.972,9.99,True,3
3,60,0.1,0.0003,0.0,0.0,False,0.0003,0.0,0.0,False,0.0415,0.82,19.74,True,0.0894,0.92,10.29,True,2
3,60,0.2,0.0,0.002,inf,True,0.0,0.002,inf,True,0.0366,0.722,19.71,True,0.0864,0.922,10.67,True,4
3,60,0.4,0.0001,0.0013,12.52,True,0.0003,0.004,11.96,True,0.0177,0.412,23.29,True,0.092,0.9513,10.34,True,4
5,10,0.05,0.0278,0.1666,5.98,True,0.0394,0.203,5.15,True,0.1242,0.7821,6.29,True,0.1934,0.8412,4.35,True,4
5,10,0.1,0.0185,0.0981,5.32,True,0.0229,0.1293,5.65,True,0.1228,0.7644,6.22,True,0.181,0.8379,4.63,True,4
5,10,0.2,0.0105,0.0688,6.58,True,0.0142,0.0941,6.65,True,0.1189,0.7643,6.43,True,0.1759,0.8249,4.69,True,4
5,10,0.4,0.0034,0.0183,5.32,True,0.0057,0.0377,6.65,True,0.083,0.6495,7.83,True,0.1724,0.8494,4.93,True,4
5,20,0.05,0.0368,0.1497,4.06,True,0.0414,0.1932,4.67,True,0.1252,0.7793,6.22,True,0.1925,0.8507,4.42,True,4
