dataset,K,tau,proxy_threshold,budget_ratio,seed,method,reported_confidence,actual_clip_recall,actual_clip_precision,mIoU,oracle_ratio,violation_0.8,violation_0.9,num_true_clips,num_candidate_clips
uadetrac,20,20,p90,0.05,0,full_oracle,,1.0,1.0,1.0,1.0,False,False,35,35
uadetrac,20,20,p90,0.05,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,35,0
uadetrac,20,20,p90,0.05,0,fixed_proxy_threshold_stitch,,0.11428571428571428,0.07272727272727272,0.17801969372095053,0.0,True,True,35,55
uadetrac,20,20,p90,0.05,0,supg_style_frame_selection_stitch,,0.08571428571428572,0.05454545454545454,0.17299311249017416,0.049333779072544055,True,True,35,55
uadetrac,20,20,p90,0.05,0,arc_style_surrogate,0.36074098147546313,0.11428571428571428,0.06666666666666667,0.1804529855970469,0.04674291991021539,True,True,35,60
uadetrac,20,20,p90,0.05,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,35,0
uadetrac,20,20,p90,0.05,1,fixed_proxy_threshold_stitch,,0.11428571428571428,0.07272727272727272,0.17801969372095053,0.0,True,True,35,55
uadetrac,20,20,p90,0.05,1,supg_style_frame_selection_stitch,,0.11428571428571428,0.07272727272727272,0.17801969372095053,0.04950093127656526,True,True,35,55
uadetrac,20,20,p90,0.05,1,arc_style_surrogate,0.36068764190723324,0.11428571428571428,0.07142857142857142,0.1849317008297523,0.046814556569081615,True,True,35,56
uadetrac,20,20,p90,0.05,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,35,0
uadetrac,20,20,p90,0.05,2,fixed_proxy_threshold_stitch,,0.11428571428571428,0.07272727272727272,0.17801969372095053,0.0,True,True,35,55
uadetrac,20,20,p90,0.05,2,supg_style_frame_selection_stitch,,0.14285714285714285,0.09803921568627451,0.20404372121054146,0.049345718515688426,True,True,35,51
uadetrac,20,20,p90,0.05,2,arc_style_surrogate,0.36081474296799226,0.2,0.11864406779661017,0.21524087850656384,0.04693395100052534,True,True,35,59
uadetrac,20,20,p90,0.1,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,35,0
uadetrac,20,20,p90,0.1,0,fixed_proxy_threshold_stitch,,0.11428571428571428,0.07272727272727272,0.17801969372095053,0.0,True,True,35,55
uadetrac,20,20,p90,0.1,0,supg_style_frame_selection_stitch,,0.11428571428571428,0.07272727272727272,0.1781863603876172,0.09719900663833039,True,True,35,55
uadetrac,20,20,p90,0.1,0,arc_style_surrogate,0.5101518512199283,0.2,0.12280701754385964,0.25493135122584937,0.08997564353598549,True,True,35,57
uadetrac,20,20,p90,0.1,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,35,0
uadetrac,20,20,p90,0.1,1,fixed_proxy_threshold_stitch,,0.11428571428571428,0.07272727272727272,0.17801969372095053,0.0,True,True,35,55
uadetrac,20,20,p90,0.1,1,supg_style_frame_selection_stitch,,0.08571428571428572,0.05357142857142857,0.17420181360175954,0.09740197717178471,True,True,35,56
uadetrac,20,20,p90,0.1,1,arc_style_surrogate,0.5139366827253957,0.14285714285714285,0.08620689655172414,0.2211494161372472,0.08939061082191127,True,True,35,58
uadetrac,20,20,p90,0.1,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,35,0
uadetrac,20,20,p90,0.1,2,fixed_proxy_threshold_stitch,,0.11428571428571428,0.07272727272727272,0.17801969372095053,0.0,True,True,35,55
uadetrac,20,20,p90,0.1,2,supg_style_frame_selection_stitch,,0.14285714285714285,0.09803921568627451,0.20404372121054146,0.09773628157982711,True,True,35,51
uadetrac,20,20,p90,0.1,2,arc_style_surrogate,0.5127637848876787,0.34285714285714286,0.2033898305084746,0.2633748486910932,0.09015473518315106,True,True,35,59
uadetrac,20,20,p90,0.2,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,35,0
uadetrac,20,20,p90,0.2,0,fixed_proxy_threshold_stitch,,0.11428571428571428,0.07272727272727272,0.17801969372095053,0.0,True,True,35,55
uadetrac,20,20,p90,0.2,0,supg_style_frame_selection_stitch,,0.08571428571428572,0.05454545454545454,0.1754027720175019,0.18996847987009885,True,True,35,55
uadetrac,20,20,p90,0.2,0,arc_style_surrogate,0.6300694994281693,0.9714285714285714,0.85,0.9183650044486528,0.17572472419886337,False,False,35,40
uadetrac,20,20,p90,0.2,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,35,0
uadetrac,20,20,p90,0.2,1,fixed_proxy_threshold_stitch,,0.11428571428571428,0.07272727272727272,0.17801969372095053,0.0,True,True,35,55
uadetrac,20,20,p90,0.2,1,supg_style_frame_selection_stitch,,0.11428571428571428,0.07272727272727272,0.18352681282940786,0.1897058121209227,True,True,35,55
uadetrac,20,20,p90,0.2,1,arc_style_surrogate,0.6299164100307963,1.0,0.875,0.9144799593821277,0.17570084531257463,False,False,35,40
uadetrac,20,20,p90,0.2,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.19999761211137113,True,True,35,0
uadetrac,20,20,p90,0.2,2,fixed_proxy_threshold_stitch,,0.11428571428571428,0.07272727272727272,0.17801969372095053,0.0,True,True,35,55
uadetrac,20,20,p90,0.2,2,supg_style_frame_selection_stitch,,0.08571428571428572,0.05357142857142857,0.1751292089327158,0.1902072687329863,True,True,35,56
