query,method,clip_f1,clip_recall,oracle_call_ratio
count_ge_3,fixed_rate_k10,0.8984,0.8731,0.1003
count_ge_3,fixed_rate_k2,0.9832,0.983,0.5002
count_ge_3,fixed_rate_k20,0.8611,0.8239,0.0504
count_ge_3,fixed_rate_k5,0.9228,0.8997,0.2001
count_ge_3,query_impact_g10,0.9816,0.9802,0.4384
count_ge_3,query_impact_g3,0.9833,0.9833,0.6031
count_ge_3,query_impact_g5,0.9833,0.9833,0.5097
count_ge_5,fixed_rate_k10,0.8507,0.8329,0.1003
count_ge_5,fixed_rate_k2,0.9825,0.9823,0.5002
count_ge_5,fixed_rate_k20,0.782,0.7379,0.0504
count_ge_5,fixed_rate_k5,0.8908,0.8748,0.2001
count_ge_5,query_impact_g10,0.9828,0.9823,0.4882
count_ge_5,query_impact_g3,0.983,0.9827,0.646
count_ge_5,query_impact_g5,0.983,0.9827,0.5614
in_front,boundary_only_m10,0.4375,0.4375,0.11
in_front,boundary_only_m20,0.4525,0.4525,0.1215
in_front,boundary_only_m50,0.545,0.545,0.1832
in_front,const_vel_k10,0.8698,0.8725,0.1079
in_front,const_vel_k5,0.8742,0.875,0.2098
in_front,fixed_rate_k10,0.8671,0.8675,0.1079
in_front,fixed_rate_k2,0.875,0.875,0.5031
in_front,fixed_rate_k20,0.8417,0.84,0.0571
in_front,fixed_rate_k5,0.8742,0.875,0.2098
in_front,kalman_fixed_k10,0.8624,0.8725,0.1079
in_front,kalman_fixed_k5,0.8742,0.875,0.2098
in_front,kalman_uncertainty_t100,0.852,0.8675,0.0922
in_front,kalman_uncertainty_t20,0.8708,0.8712,0.3421
in_front,kalman_uncertainty_t50,0.8595,0.87,0.1532
in_front,linear_interp_k10,0.8725,0.8725,0.1153
in_front,linear_interp_k20,0.8567,0.855,0.0673
in_front,linear_interp_k5,0.8733,0.8738,0.2108
in_front,naive_oracle,0.875,0.875,1.0
in_front,query_impact_m20_g3,0.875,0.875,0.4613
in_front,query_impact_m20_g5,0.875,0.875,0.3515
in_front,query_impact_m30_g3,0.875,0.875,0.4939
in_front,query_impact_m30_g5,0.875,0.875,0.3883
in_front,query_impact_m50_g5,0.875,0.875,0.4614
in_image,boundary_only_m10,0.99,0.99,0.11
in_image,boundary_only_m20,0.99,0.99,0.1215
in_image,boundary_only_m50,0.99,0.99,0.1832
in_image,const_vel_k10,0.8721,0.8725,0.1079
in_image,const_vel_k5,0.8642,0.865,0.2098
in_image,fixed_rate_k10,0.9871,0.9875,0.1079
in_image,fixed_rate_k2,0.99,0.99,0.5031
in_image,fixed_rate_k20,0.9867,0.985,0.0571
in_image,fixed_rate_k5,0.9892,0.99,0.2098
in_image,kalman_fixed_k10,0.8647,0.8725,0.1079
in_image,kalman_fixed_k5,0.8642,0.865,0.2098
in_image,kalman_uncertainty_t100,0.8455,0.8575,0.0922
in_image,kalman_uncertainty_t20,0.8608,0.8612,0.3421
in_image,kalman_uncertainty_t50,0.8503,0.8575,0.1532
in_image,linear_interp_k10,0.9875,0.9875,0.1153
in_image,linear_interp_k20,0.9867,0.985,0.0673
in_image,linear_interp_k5,0.9883,0.9888,0.2108
in_image,naive_oracle,0.99,0.99,1.0
in_image,query_impact_m20_g3,0.99,0.99,0.4613
in_image,query_impact_m20_g5,0.99,0.99,0.3884
in_image,query_impact_m30_g3,0.99,0.99,0.4939
in_image,query_impact_m30_g5,0.99,0.99,0.423
in_image,query_impact_m50_g5,0.99,0.99,0.4894
