experiment_name,dataset,real_or_synthetic,query_type,methods_baselines,metrics,key_finding,credibility,supports_topic
smoke_test,synthetic,synthetic,count_vehicle_K_tau,arc_clustering/fixed_rate/uniform_random/proxy_threshold/full_oracle,frame_recall/clip_recall/IoU/frag,Clip_degradation_5-20x_larger_than_frame_degradation,medium_synthetic,B/C/D/F
audit_agent_a,synthetic,synthetic,count_vehicle_K_tau,diagnostic_checks,inclusive_interval/tau/IoU/fragmentation,All_metrics_verified_correct,high_audit,B/C
audit_agent_b,synthetic,synthetic,count_vehicle_K_tau,clean_control_all_methods,frame_recall/clip_recall/oracle_frac,All_baselines_pass_clean_control,high_audit,B/C
audit_agent_c,synthetic,synthetic,count_vehicle_K_tau,parameter_sweep_240_combinations,clip_drop/frame_drop/ratio,Clip_gt_frame_in_80.7%_of_cases_stable_across_tau_budget_K,high_sweep,B/C/D/F
audit_agent_d,synthetic,synthetic,count_vehicle_K_tau,perturbation_ablation,clip_recall_drop/fragmentation,proxy_noise_is_dominant_failure_source_20-27x_amplification,high_ablation,B/C/D
audit_agent_e,synthetic,synthetic,count_vehicle_K_tau,hidden_risk_vs_uniform,clip_recall/oracle_frac,hidden_risk_does_not_help_propagation_dominates,high_ablation,A/B/C
factorial_ablation,synthetic,synthetic,count_vehicle_K_tau,6_allocation_x_5_propagation,effect_range/clip_recall,Propagation_5x_more_important_than_allocation_NN_near_perfect,high_factorial,A/B/C
hard_synthetic,synthetic,synthetic,count_vehicle_K_tau,5_regimes_x_5_propagation,clip_recall/IoU/frag,NN_fails_on_regime_shift_and_mixed_hard_conservative_boundary_best,high_sweep,B/C/D
real_mvp_bdd100k,BDD100K,real_labels_synthetic_proxy,count_vehicle_K,SUPG/ABae/uniform/proxy_threshold,recall/precision/MSE,SUPG_works_but_K3_too_easy_frame_to_clip_gap_is_main_issue,medium_real,B/C/D
real_mvp_uadetrac,UA-DETRAC,real,count_vehicle_K/in_image/in_front,fixed_rate/linear_interp/baselines,clip_recall/clip_precision,Frame_to_clip_reconstruction_is_biggest_gap,medium_real,B/C/D
real_kinematic_uadetrac,UA-DETRAC_2D,real,in_image/in_front/count_ge_K,naive/fixed_rate/linear_interp/const_vel/kalman/boundary_only/query_impact,clip_f1/oracle_ratio,boundary_only_m10_beats_fixed_rate_by_0.103_F1_at_11%_oracle_parameter_sensitive,medium_real,A/D
nuscenes_feasibility,nuScenes_mini,real,in_fov/within_30m/ego_front,naive/fixed_rate_k2_k3_k5_k10/linear_interp/const_vel,clip_f1/oracle_ratio,Real_3D_pipeline_works_fixed_rate_k10_achieves_0.81-0.88_ClipF1,high_real,A/D
nuscenes_audit,nuScenes_mini,real,in_fov/within_30m/ego_front,naive_oracle_verification,clip_f1,naive_oracle_corrected_to_1.0_aggregation_bug_fixed,high_audit,A/D
